player,Putting from 5-10'-%,Putting Average-AVG,3-Putts per Round-AVG,SG: Putting-AVERAGE,Average Putting Distance - GIR 1 Putts-AVG,Overall Putting Average-AVG,Birdie or Better Conversion Percentage-%,Average Distance of Birdie putts made-AVG,3-Putt Avoidance-%,2-Putts per Round-AVG,One-Putt Percentage-%,Going for the Green - Hit Green Pct-%,Going for the Green - Birdie or Better-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Fairway-%,Fairway Proximity-AVG,SG: Approach the Green-AVERAGE,GIR Percentage - 100+ yards-%,Average Approach Shot Distance-AVG,Going for the Green-%,GIR Pct - Fairway Bunker-%,Greens in Regulation Percentage-%,Greens in Regulation Percentage-RELATIVE/PAR,GIR Percentage from Fairway-%,Greens or Fringe in Regulation-%,Par Breakers-%,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,Bogey Average-AVERAGE BOGEYS PER ROUND,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Scoring Average (Actual)-AVG,Par 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Birdie Average-AVG,Bounce Back-%,Fairway Bunker Tendency-%,Right Tendency-%,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,Left Rough Tendency-%,Hit Fairway Percentage-%,Hit Fairway Percentage-RELATIVE TO PAR,Driving Distance - All Drives-ALL DRIVES,Right Rough Tendency-%,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Left Tendency-%,Rough Tendency-%,Total Driving-ACCURACY RANK,Distance from Center of Fairway-AVG,SG: Around-the-Green-AVERAGE,Sand Save Percentage-%,Sand Saves from 20-30 yards-%,Scrambling from < 10 yards-%,Scrambling from the Rough-%,Scrambling from > 30 yards-%,Scrambling from the Fringe-%,Scrambling 10-20 yds (RTP Score)-AVG RTP,Sand Saves from 10-20 yards-%,Scrambling from 10-20 yards-%,Scrambling Rough (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from 20-30 yards-%,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR
D.J. Trahan,53.66,1.786,0.59,-0.38,"9' 6""",1.647,29.81,"8' 7""",3.3,10.7,35.89,20,57.78,12.5,19.87,"31' 10""",0.394,69.39,164.7,63.38,50,71.02,-0.26,80,79.47,22.37,0.203,4.676,13.424,-8.748,2.38,70.21,69.75,22.37,1.51,70.08,3.05,69.09,3.97,25.81,4.3,45.1,0.584,0.267,0.394,-0.077,0.267,14.29,64.6,-0.11,285,12.11,44,28,16,54.9,26.4,42,"25' 9""",-0.077,43.33,30.77,70.97,57.14,20,87.5,0.244,60,68.89,0.455,57.14,36.84,136,37,46.34,0.125,3,58.03,112,193
Luke Donald,62.5,1.727,0.33,0.383,"10' 1""",1.58,31.71,"9' 11""",1.85,9.94,41.98,7.69,46.15,11.11,19.29,"30' 1""",0.836,58.52,163.1,43.33,61.5,63.27,-0.3,75.51,65.15,20.99,0.808,8.89,4.681,4.211,2.83,69.82,70.5,20.99,1.19,70.5,2.95,69.6,3.67,25,8.5,50.8,0.426,-0.879,0.836,0.468,-0.879,13.73,60.13,-0.14,271.4,11.76,421,222,199,49.2,25.49,145,"27' 10""",0.468,31.82,33.33,92.86,53.33,38.89,85.71,0.333,30,66.67,0.489,66.67,55.56,156,18,35.29,0.143,1,57.14,68,119
Ian Poulter,52,1.748,0.32,0.594,"12' 0""",1.568,28.51,"11' 7""",1.77,9.73,43.43,20,60,11.11,18.71,"36' 0""",0.395,54.45,162.4,44.12,55.6,61.11,-0.28,71.26,59.72,18.18,1.136,13.628,6.503,7.125,2.64,71,68.6,18.18,1.2,70.27,3.03,72.33,3.09,21.05,10.9,50.6,0.542,-0.161,0.395,0.307,-0.161,16.97,52.12,-0.23,276.8,18.18,439,219,220,49.4,35.15,160,"22' 1""",0.307,64.58,62.5,100,51.52,19.23,100,0.158,68.75,78.95,0.515,58.82,63.16,25,22,75,E,E,64.94,100,154
K.J. Choi,54.29,1.858,0.94,0.427,"13' 4""",1.676,24.17,"13' 0""",5.23,10.59,34.31,20,50,10.53,22.95,"32' 1""",-0.015,61.19,167.2,27.78,50,69.28,-0.18,76.27,71.6,17.97,0.359,3.231,-0.614,3.844,2.76,71.77,71,17.97,1.15,71.18,2.96,72.5,3.18,13.64,3.2,65,-0.068,-0.643,-0.015,0.591,-0.643,7.2,68,-0.15,275.1,19.2,152,106,46,35,26.4,3,"23' 2""",0.591,61.11,66.67,100,59.38,50,90,0.2,57.14,72,0.406,54.55,50,26,17,57.14,E,E,64.89,61,94
Adam Scott,58.57,1.716,0.27,0.231,"10' 1""",1.581,33.75,"8' 5""",1.71,10.08,40.81,20.97,53.23,29.41,23.08,"31' 8""",0.357,61.34,176.4,77.5,25,69.23,-0.34,85.71,74.07,24.36,1.125,20.255,16.102,4.155,2.08,69.5,69,24.36,1.81,69.5,2.96,68.57,4.15,21.67,3.2,40.6,0.895,-0.029,0.357,0.566,-0.029,23.08,52.23,-0.26,300.6,17,126,77,49,59.4,40.08,192,"26' 0""",0.566,61.11,71.43,88.46,70.59,28.57,91.67,0.231,63.16,74.36,0.294,47.83,45.45,103,26,64.71,-0.083,-1,59.72,86,144
Ricky Barnes,58.73,1.749,0.36,0.442,"11' 5""",1.548,31.27,"11' 3""",2.18,9.29,44.84,13.64,50,10,20.87,"34' 2""",-0.054,58.87,160,31.88,64.7,60.91,-0.28,76.5,68.3,20.44,-0.363,-6.174,-13.683,7.51,2.32,70.78,73,20.44,1.37,71,2.96,70.13,3.68,22.06,7.4,62.5,-0.805,-1.144,-0.054,0.393,-1.144,14.85,51.09,-0.17,271.1,22.27,447,226,221,37.5,37.12,214,"28' 1""",0.393,58.33,70,88.46,58.9,20.83,96.55,0.13,78.57,84.78,0.466,67.31,77.27,16,28,58.54,-0.138,-4,65.99,130,197
Jonathan Byrd,58.33,1.811,0.63,-0.877,"11' 11""",1.652,25,"11' 6""",3.51,10.63,36.55,11.76,23.53,13.79,20.78,"33' 9""",0.197,64.8,158.6,38.64,27.3,66.67,-0.21,78.67,72.69,17.54,-1.161,-13.926,-3.402,-10.525,2.79,71.87,74,17.54,1,71.63,3.09,71.71,3.11,17.54,6.7,53.7,-0.284,-0.274,0.197,-0.206,-0.274,14.72,58.9,-0.19,284.3,17.79,321,201,120,46.3,32.52,169,"23' 0""",-0.206,56.67,25,70.59,50,12.5,100,0.318,44.44,59.09,0.476,51.35,52.63,163,19,60.87,-0.091,-1,57.02,65,114
Nick Taylor,57.34,1.739,0.32,0.236,"10' 5""",1.603,30.39,"9' 6""",1.76,10.44,39.02,23.53,55.88,15.38,22.53,"33' 2""",-0.033,62.99,163.3,60.18,38.2,69.51,-0.3,81.82,73.09,22.09,0.477,15.263,7.719,7.547,2.24,69.23,70.67,22.09,1.63,69.71,3.02,69.42,3.78,18.75,7.6,47.7,0.241,0.191,-0.033,0.083,0.191,12.81,65.17,-0.22,289.2,12.58,71,27,44,52.3,25.39,30,"26' 11""",0.083,44.83,43.48,92.31,59.74,21.88,95.24,0.446,33.33,55.36,0.455,60.49,55.56,98,41,43.48,E,E,60,135,225
Graeme McDowell,58.82,1.762,0.47,-0.16,"9' 0""",1.617,28.94,"7' 10""",2.59,10.47,37.59,20,55,18.52,21.03,"34' 9""",0.662,57.51,169.6,51.28,42.9,64.63,-0.27,77.27,69.59,20,-0.228,-4.335,-1.296,-3.038,2.93,71.61,72.29,20,1.08,71.47,3.06,71.63,3.5,14.43,5.2,39.4,-0.068,-0.654,0.662,-0.077,-0.654,18.28,63.43,-0.11,279.6,11.57,355,181,174,60.6,29.85,91,"29' 9""",-0.077,29.41,23.08,86.67,47.17,25,93.75,0.391,34.78,60.87,0.585,60.32,25.93,209,30,35.29,-0.063,-1,53.4,102,191
Bubba Watson,60.23,1.756,0.26,0.767,"10' 7""",1.601,30.45,"8' 11""",1.47,10.65,37.42,26.87,55.22,19.05,24.57,"31' 3""",0.041,61.47,167.6,65.59,53.3,66.34,-0.31,78.2,74.67,21.9,1.351,33.783,14.599,19.185,2.41,69.7,69.43,21.9,1.52,69.56,3.05,69.9,3.74,24.39,8.7,43.6,0.584,0.664,0.041,-0.12,0.664,19.13,55.07,-0.27,307.7,14.49,180,49,131,56.4,33.62,175,"25' 0""",-0.12,53.06,60,84.62,65.45,51.72,93.75,0.306,57.69,66.13,0.291,58.33,38.1,81,34,51.72,-0.063,-1,61.17,126,206
