player,Putting from 5-10'-%,Putting Average-AVG,3-Putts per Round-AVG,SG: Putting-AVERAGE,Average Putting Distance - GIR 1 Putts-AVG,Overall Putting Average-AVG,Birdie or Better Conversion Percentage-%,Average Distance of Birdie putts made-AVG,3-Putt Avoidance-%,2-Putts per Round-AVG,One-Putt Percentage-%,Going for the Green - Hit Green Pct-%,Going for the Green - Birdie or Better-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Fairway-%,Fairway Proximity-AVG,SG: Approach the Green-AVERAGE,GIR Percentage - 100+ yards-%,Average Approach Shot Distance-AVG,Going for the Green-%,GIR Pct - Fairway Bunker-%,Greens in Regulation Percentage-%,Greens in Regulation Percentage-RELATIVE/PAR,GIR Percentage from Fairway-%,Greens or Fringe in Regulation-%,Par Breakers-%,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,Bogey Average-AVERAGE BOGEYS PER ROUND,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Scoring Average (Actual)-AVG,Par 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Birdie Average-AVG,Bounce Back-%,Fairway Bunker Tendency-%,Right Tendency-%,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,Left Rough Tendency-%,Hit Fairway Percentage-%,Hit Fairway Percentage-RELATIVE TO PAR,Driving Distance - All Drives-ALL DRIVES,Right Rough Tendency-%,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Left Tendency-%,Rough Tendency-%,Total Driving-ACCURACY RANK,Distance from Center of Fairway-AVG,SG: Around-the-Green-AVERAGE,Sand Save Percentage-%,Sand Saves from 20-30 yards-%,Scrambling from < 10 yards-%,Scrambling from the Rough-%,Scrambling from > 30 yards-%,Scrambling from the Fringe-%,Scrambling 10-20 yds (RTP Score)-AVG RTP,Sand Saves from 10-20 yards-%,Scrambling from 10-20 yards-%,Scrambling Rough (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from 20-30 yards-%,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR
Adam Long,54.9,1.76,0.52,0.042,"10' 8""",1.613,30.97,"9' 10""",3.08,10.11,39.58,22.97,56.76,12.31,22.86,"33' 1""",0.484,65.05,163.2,53.28,40,68.75,-0.28,79.96,74.07,21.92,0.568,22.148,20.52,1.63,2.54,69.79,72.15,21.92,1.44,70.13,3.07,69,3.82,23.08,5.5,45.2,0.526,0.073,0.484,-0.031,0.073,13.76,64.22,-0.2,284.4,13.03,128,72,56,54.8,26.79,35,"25' 8""",-0.031,42.7,33.33,97.56,59.3,31.43,96,0.435,36.67,56.47,0.442,63.55,50.91,105,56,34.04,E,E,59.68,188,315
Tom Hoge,62.42,1.763,0.55,0.318,"10' 3""",1.583,31.47,"9' 7""",3.16,9.59,42.17,27.69,55.38,9.59,25.31,"30' 1""",0.616,61.48,164.6,52,51.5,65.53,-0.28,74.68,72.07,21.72,0.985,35.454,24.018,11.437,2.3,70.17,69.25,21.72,1.51,70.18,3.02,71.21,3.86,24.53,6.6,59.5,0.667,0.135,0.616,-0.084,0.135,11.75,62.75,-0.19,283.5,16.93,311,160,151,40.5,28.69,81,"24' 1""",-0.084,48.65,33.33,89.36,64.55,29.17,95.24,0.308,51.16,68.27,0.364,67.05,47.83,18,44,54.72,-0.048,-1,65.57,179,273
Matthew NeSmith,57.32,1.758,0.46,0.426,"11' 0""",1.622,30.13,"10' 0""",2.56,10.46,38.33,20.9,56.72,10.61,21.29,"33' 5""",0.429,65.54,166,57.76,52.4,70.78,-0.28,83.99,75.31,22.11,0.744,26.778,11.431,15.348,2.18,70,69.3,22.11,1.64,69.7,2.99,70.67,3.86,20.35,8.4,51.4,0.318,0.003,0.429,-0.114,0.003,11.78,64.07,-0.19,280.5,13.77,69,49,20,48.6,25.55,51,"25' 3""",-0.114,48.15,54.55,77.78,54.55,33.33,72.97,0.366,51.43,65.59,0.511,73.08,63.64,62,50,54.39,0.189,7,61.98,163,263
Scott Piercy,50.36,1.779,0.27,-0.184,"10' 0""",1.619,27.94,"8' 1""",1.5,10.77,37.73,28.38,59.46,10.13,21.11,"30' 6""",0.196,58.74,165.1,68.87,66.7,66.09,-0.27,75.85,72.74,19.1,0.157,5.011,10.895,-5.881,2.5,69.75,71.82,19.1,1.26,70.58,3.1,69.23,3.33,13.01,7.4,66.1,0.34,0.285,0.196,-0.14,0.285,10.56,60,-0.21,290.5,19.55,193,57,136,33.9,30.11,99,"25' 8""",-0.14,45.33,61.54,88.89,59.52,26.67,87.1,0.304,38.46,66.3,0.429,64.63,48.72,102,48,45.65,0.097,3,59.73,175,293
Beau Hossler,62.79,1.75,0.21,0.646,"12' 2""",1.591,29.84,"11' 1""",1.26,10.34,40.36,20,52,16.05,21.19,"35' 0""",-0.56,60,162.7,60.66,62.2,65.3,-0.29,75.38,69.21,20.34,-0.261,-9.138,-31.747,22.611,2.53,70.41,71.67,20.34,1.29,70.74,3.02,70.33,3.55,23.94,9.3,58.7,-0.907,-0.218,-0.56,-0.129,-0.218,13.4,52.78,-0.17,294.8,18.97,286,132,154,41.3,32.37,203,"25' 6""",-0.129,52.81,50,93.48,54.63,33.33,92.11,0.427,51.52,57.32,0.5,55.36,49.02,130,53,53.62,0.053,2,58.31,193,331
Maverick McNealy,57.23,1.741,0.57,0.515,"11' 7""",1.579,33.74,"10' 9""",3.4,9.41,43,19.74,63.16,18.67,24.89,"32' 0""",-0.003,65.38,160.4,60,64.4,67.8,-0.31,77.46,74.07,23.97,0.833,29.971,11.437,18.535,2.11,69.94,69.42,23.97,1.79,69.69,3.03,70.2,4.22,27.97,9,50.7,0.318,0.186,-0.003,0.135,0.186,15.63,57.92,-0.21,288.8,15.43,199,114,85,49.3,31.06,114,"23' 8""",0.135,63.73,52.38,80.95,62.28,35.14,84.62,0.256,63.16,70.73,0.412,67.02,58.33,13,54,66.67,E,E,66.45,208,313
Kevin Na,60.45,1.729,0.43,0.769,"12' 3""",1.569,33.01,"11' 1""",2.65,9.45,43.69,18.57,58.57,16.39,25.84,"32' 6""",0.343,59.61,168.2,53.85,52.2,64.77,-0.31,77.89,70.66,22.35,0.92,29.444,4.835,24.612,2.14,70.07,69.44,22.35,1.64,70.07,2.97,69.46,3.93,20.59,5.1,54.5,0.151,-0.444,0.343,0.252,-0.444,11.8,63.92,-0.21,283.7,15.37,333,165,168,45.5,27.17,77,"26' 1""",0.252,58.43,60.87,90.74,60.81,31.25,92.31,0.221,57.14,75.32,0.459,65.82,51.16,11,44,62.75,-0.115,-3,66.67,186,279
Jim Herman,46.77,1.833,0.68,-0.302,"10' 6""",1.665,25.35,"9' 7""",3.8,10.84,34.65,29.79,44.68,10.91,19.57,"34' 4""",-0.67,58.22,161.1,42.73,45.8,62.87,-0.21,74.32,67.41,16.96,-1.531,-45.924,-36.855,-9.068,3.42,72.34,71.2,16.96,0.79,72.58,3.21,72.21,3.05,18.71,5.7,61.7,-1.229,0.175,-0.67,-0.734,0.175,10.19,68.72,-0.06,277.9,14.22,301,95,206,38.3,24.41,11,"27' 10""",-0.734,40.28,33.33,74.29,45.78,17.86,88.89,0.5,47.37,52.27,0.566,52.69,45.83,222,38,41.38,-0.056,-1,50,127,254
Russell Henley,53.64,1.784,0.37,-0.169,"10' 10""",1.635,24.72,"10' 5""",2.06,11,35.08,16,42,14,19.15,"30' 4""",0.658,68.3,165.9,47.62,63,70.63,-0.24,78.53,76.67,18.89,0.431,12.939,18.004,-5.063,1.89,70.13,69.71,18.89,1.47,70.29,3.07,70.64,3.29,13.51,6.4,54.7,0.6,-0.253,0.658,0.195,-0.253,12.89,63.01,-0.17,281,14.8,170,145,25,45.3,27.68,69,"22' 6""",0.195,43.48,42.86,88.24,60.32,32,95.45,0.31,42.11,67.61,0.413,62.5,55.56,60,35,50,-0.045,-1,62.16,115,185
Daniel Berger,64.41,1.742,0.53,0.613,"10' 0""",1.585,34.96,"8' 11""",3.22,9.53,42.69,30.14,60.27,19.67,28.22,"32' 4""",0.436,63.49,166.4,73.74,59.1,69.15,-0.32,77.17,74.81,25,1.59,47.704,29.304,18.404,2.11,69.36,68.33,25,1.92,68.92,2.97,69.2,4.39,27.06,5.3,65.9,0.977,0.349,0.436,0.192,0.349,8.13,67.94,-0.24,286.9,16.03,56,5,51,34.1,24.16,44,"22' 10""",0.192,60,50,92.68,70.51,20,92.86,0.307,60,70.67,0.244,60.87,58.62,10,38,58.82,E,E,66.82,141,211
Bo Hoag,56.2,1.778,0.38,0.025,"11' 10""",1.643,27.55,"11' 2""",2.13,10.91,36.64,13.73,56.86,13.73,18.86,"34' 6""",-0.011,67.7,162.6,49.5,40,70.92,-0.25,78.88,75.86,19.98,-0.264,-7.646,-8.382,0.737,2.43,69.97,69.7,19.98,1.44,70.19,2.97,69.5,3.51,26.36,7.4,52.3,-0.289,-0.217,-0.011,-0.061,-0.217,13.12,61.88,-0.09,282.9,13.86,137,119,18,47.7,26.98,90,"23' 11""",-0.061,43.28,50,88.89,58.62,32.35,90.91,0.344,45,67.19,0.425,64.84,44.83,101,47,36.96,0.045,1,59.76,147,246
Chesson Hadley,55.56,1.749,0.76,-0.187,"10' 2""",1.646,32.34,"9' 2""",4.37,10.26,37.3,25,68.75,14.04,25.32,"30' 2""",0.532,67.36,163.9,63.37,37.5,71.03,-0.29,78.39,76.67,24.21,0.414,12.406,18.013,-5.604,2.64,71.04,68,24.21,1.39,70.48,3.03,69.69,4.24,21.26,3.8,50.7,0.6,0.113,0.532,-0.045,0.113,12.74,65.14,-0.22,285.6,14.18,57,42,15,49.3,26.92,48,"22' 9""",-0.045,42.67,47.62,78.57,45.9,28,82.35,0.365,47.83,60.32,0.656,60.26,40,218,42,34.15,E,E,51.14,112,219
Scott Stallings,54.89,1.75,0.49,-0.027,"12' 3""",1.612,29.72,"10' 3""",2.71,10.37,37.94,30.91,60,8.51,21.83,"31' 2""",0.059,64.16,164.8,57.29,40,68.16,-0.3,81.39,73.46,21.54,0.096,2.602,3.328,-0.725,2.27,69.73,70.56,21.54,1.5,70.02,3,70.92,3.61,12.87,8,49.4,0.123,-0.105,0.059,0.169,-0.105,15.73,57.07,-0.23,287.6,14.4,252,177,75,50.6,30.13,182,"25' 9""",0.169,49.06,33.33,96.43,62.14,25.93,83.33,0.412,50,61.76,0.388,62.69,50,89,41,47.83,0.111,2,60.85,143,235
Martin Trainer,56.1,1.813,0.76,-0.218,"9' 7""",1.582,30.57,"8' 5""",4.25,9.24,42.81,20,54.29,17.86,18.66,"43' 6""",-2.07,43.24,161.7,65.09,26.3,51.63,-0.25,63.04,58.64,16.99,-2.736,-73.881,-68.004,-5.876,3.91,73.8,73.25,16.99,0.65,73.97,3.35,74.14,2.94,18.24,5.1,39.7,-2.519,-0.406,-2.07,-0.043,-0.406,24.27,48.53,-0.05,298.6,14.67,422,196,226,60.3,38.93,222,"29' 11""",-0.043,50.98,58.82,89.74,51.72,33.96,91.67,0.402,45,60.92,0.534,52.21,51.92,204,34,47.37,E,E,53.72,159,296
Wyndham Clark,59.69,1.747,0.49,0.563,"10' 6""",1.596,33.06,"9' 2""",2.84,9.86,41.34,23.61,65.28,10.61,23.86,"36' 11""",-0.342,53.58,166.2,66.99,56.3,63.95,-0.31,76.04,66.27,21.96,-0.048,-1.331,-17.086,15.757,2.63,70.43,72,21.96,1.25,70.95,3.06,71.21,3.81,22.31,8.4,49,-0.61,-0.394,-0.342,0.125,-0.394,20,46.32,-0.22,296.1,19.74,316,127,189,51,39.74,205,"25' 8""",0.125,50.77,46.15,90.91,55.41,23.81,94.74,0.367,53.85,63.29,0.486,59.05,57.78,149,43,35.9,-0.105,-2,57.35,160,279
Jhonattan Vegas,54.46,1.81,0.58,-0.528,"9' 11""",1.654,29.77,"8' 7""",3.24,10.86,35.03,34.55,58.18,13.89,22.82,"33' 3""",-0.392,57.99,163.9,68.35,47.1,68.06,-0.27,78.41,71.98,21.6,-0.249,-5.718,6.427,-12.142,2.97,70.7,71,21.6,1.27,70.56,3.15,71.18,3.75,19.05,5.3,39.5,0.279,0.837,-0.392,-0.166,0.837,17.61,61.32,-0.2,293.8,12.58,90,13,77,60.5,30.19,92,"24' 0""",-0.166,39.68,21.43,75,52.63,20,93.75,0.347,50,62.5,0.447,65.63,33.33,172,36,37.5,-0.063,-1,56.04,116,207
Brandt Snedeker,60.58,1.729,0.28,0.564,"11' 4""",1.563,31.62,"10' 8""",1.53,10.07,39.85,14.06,42.19,19.61,24.62,"35' 7""",-0.008,62.19,171.2,59.81,47.4,67.24,-0.3,78.37,73.72,23.75,0.88,22.882,8.224,14.661,2.17,70.18,70.43,23.75,1.77,69.69,3.06,68.5,4.24,24.24,5.3,51.8,0.316,-0.382,-0.008,0.706,-0.382,14.68,59.83,-0.24,286.2,16.62,290,185,105,48.2,31.3,116,"21' 8""",0.706,54.72,42.86,91.18,50.91,53.57,100,0.279,65.38,63.93,0.491,61.9,51.72,57,29,64.86,-0.25,-4,62.57,107,171
Kevin Tway,56.67,1.785,0.53,-0.29,"8' 4""",1.617,29.46,"7' 6""",2.93,10.22,39.35,28,54,16.67,18.7,"34' 5""",0.093,53.46,164.6,60.49,41.9,62.5,-0.27,77.31,67.63,19.29,-0.415,-9.555,-2.894,-6.659,3.19,71.67,70.5,19.29,1.03,71.17,3.09,72.08,3.42,20.87,10,57.1,-0.126,-0.514,0.093,0.294,-0.514,16.83,48.87,-0.18,296,20.71,358,150,208,42.9,37.54,224,"26' 10""",0.294,45.76,27.27,87.5,52,25,100,0.347,52,61.11,0.42,60,54.84,184,36,41.38,E,E,55.56,135,243
Justin Thomas,58.76,1.713,0.44,0.223,"9' 6""",1.587,37.23,"8' 4""",2.43,9.81,42.36,23.53,69.12,25.49,25.89,"29' 5""",1.069,63.37,162.8,66.33,63.2,71.35,-0.35,79.84,76.85,27.08,1.996,47.902,42.558,5.346,2,68.56,68.43,27.08,2.29,68.5,3.03,68.11,4.81,29.03,5.8,44.9,1.773,0.431,1.069,0.273,0.431,18.48,56.36,-0.26,303,16.97,132,120,12,55.1,35.45,173,"27' 11""",0.273,62.79,83.33,95.12,58.97,35.71,94.44,0.378,66.67,62.22,0.41,64.29,63.16,19,32,61.9,-0.056,-1,65.45,108,165
Brandon Hagy,53.27,1.787,0.75,0.057,"10' 11""",1.628,30.57,"9' 7""",4.17,10.17,37.35,28.79,53.03,21.43,22.34,"31' 10""",-0.488,63.51,162.8,70.59,47.1,67.28,-0.27,77.69,72.22,22.07,-0.599,-15.573,-17.056,1.484,2.83,71.11,70.5,22.07,1.22,70.83,3.04,68.83,3.83,24.32,4.7,49.1,-0.656,-0.152,-0.488,-0.016,-0.152,19.55,49.16,-0.16,298.5,17.32,208,104,104,50.9,36.87,210,"24' 1""",-0.016,55.56,46.67,88.89,57.75,22.5,66.67,0.333,68,65,0.437,48.65,41.67,181,36,60.98,0.167,4,55.66,118,212
Tony Finau,52.05,1.744,0.47,0,"9' 10""",1.603,32.17,"9' 0""",2.62,10.11,40.12,20,60,19.23,25.72,"31' 2""",0.673,64.86,169,69.77,44,70.52,-0.3,82.85,76.09,23.46,1.521,34.977,34.979,-0.001,2.19,69.81,68.13,23.46,1.69,69.61,3.02,69.3,4.08,24.14,7.9,50.7,1.521,0.342,0.673,0.505,0.342,15.41,55.97,-0.26,296.1,16.67,122,93,29,49.3,32.08,185,"25' 0""",0.505,43.14,28.57,94.12,64.71,50,100,0.289,55.56,71.11,0.353,71.43,34.78,67,36,36,-0.273,-3,61.78,118,191
Gary Woodland,55.75,1.77,0.38,0.285,"11' 2""",1.626,32.13,"9' 0""",2.12,10.68,37.58,30.12,59.04,12.5,25.78,"32' 11""",0.957,68.71,174.4,83.67,42.9,72.39,-0.31,80,79.56,24.18,1.384,34.589,27.476,7.115,1.79,68.78,68.38,24.18,2.14,68.88,2.97,67.89,4.24,25.37,5.9,45.3,1.099,0.322,0.957,-0.18,0.322,14.45,62.89,-0.25,299.6,13.03,8,1,7,54.7,27.48,53,"27' 10""",-0.18,57.41,61.54,90.32,65.12,35.71,100,0.37,52.63,67.39,0.372,51.92,55.56,17,34,65.38,-0.067,-1,65.68,111,169
Matt Kuchar,62.79,1.742,0.33,0.767,"11' 1""",1.591,31.4,"9' 3""",1.85,10.27,39.44,24.53,64.15,17.24,19.42,"34' 4""",0.12,63.38,169.7,55.79,66.7,67.41,-0.3,77.62,75.12,22.59,0.898,20.658,3.014,17.645,2.13,69.63,69.33,22.59,1.67,69.83,3.05,69.89,3.97,27.94,6.5,40.6,0.131,-0.091,0.12,0.101,-0.091,14.2,68.52,-0.21,283.7,8.95,232,132,100,59.4,23.15,28,"27' 2""",0.101,58.54,90.91,71.43,59.21,42.86,89.47,0.283,64.29,71.7,0.474,66.67,78.57,43,30,53.33,E,E,63.64,112,176
Sebastian Cappelen,47.12,1.767,0.6,0.257,"11' 11""",1.601,31.52,"11' 0""",3.36,9.86,40.44,19.23,44.23,15.79,23.78,"34' 8""",-0.77,58.55,158.9,54.84,38.5,64.21,-0.29,75.88,68,21.06,-0.293,-7.326,-13.739,6.413,2.51,70.32,72,21.06,1.3,70.81,3.09,70.08,3.67,22.41,7.6,61.1,-0.55,0.304,-0.77,-0.084,0.304,13.99,51.9,-0.21,294.6,23.62,340,160,180,38.9,37.61,209,"21' 0""",-0.084,45.95,33.33,91.11,66.96,40,94.74,0.453,33.33,56.25,0.348,57.14,43.24,72,43,48.21,E,E,61.37,170,277
Richy Werenski,50.65,1.734,0.37,0.743,"14' 3""",1.58,29.26,"14' 3""",2.04,10.03,40.37,2.78,47.22,17.07,20.91,"32' 10""",-0.286,63.28,166.2,48,50,65.37,-0.28,72.31,70.77,20.74,0.405,9.318,-7.776,17.094,2.57,70.05,71.57,20.74,1.35,70.37,2.91,69.33,3.7,23.08,8.8,43,-0.338,-0.146,-0.286,0.094,-0.146,18.81,54.55,-0.14,282.2,16.3,335,183,152,57,35.11,152,"20' 10""",0.094,40.32,42.86,81.82,60.87,18.52,95.83,0.413,38.89,58.7,0.391,58.7,61.29,110,30,39.58,-0.125,-3,59.36,111,187
Lanto Griffin,62.76,1.759,0.57,0.431,"10' 3""",1.58,32.39,"9' 5""",3.15,9.57,42.22,22.95,59.84,16.3,23.4,"32' 11""",0.063,60.39,168.2,62.3,44,65.28,-0.29,78.94,71.88,22.22,0.689,33.065,12.366,20.701,2.37,70.34,69.77,22.22,1.52,70.1,3.05,69.88,3.88,21.92,7.5,51.7,0.258,0.105,0.063,0.09,0.105,15.22,58.51,-0.21,290,15.82,216,61,155,48.3,31.04,150,"26' 11""",0.09,58.26,46.67,95.08,64.23,26.67,92.31,0.299,57.41,68.61,0.39,62.04,59.02,15,60,63.16,-0.077,-3,66.13,248,375
Alex Noren,55.13,1.76,0.47,-0.053,"8' 9""",1.58,31.78,"7' 4""",2.6,9.91,40.1,34.21,65.79,10.42,22.34,"34' 11""",0.16,55.89,162.5,59.38,47.6,63.54,-0.3,74.3,67.72,22.22,0.341,7.168,8.285,-1.116,2.56,69.55,69.57,22.22,1.45,69.81,3.05,69.56,3.81,21.43,7.2,69.3,0.395,-0.171,0.16,0.406,-0.171,7.59,64.83,-0.22,281.3,15.86,253,59,194,30.7,23.45,72,"24' 7""",0.406,58.06,44.44,89.66,65.67,26.92,89.47,0.257,62.07,71.43,0.299,62.16,45.45,28,32,58,-0.053,-1,64.76,136,210
Ryan Moore,55,1.742,0.43,0.044,"9' 0""",1.591,30.08,"8' 9""",2.41,10,40.74,8.89,40,11.54,22.69,"32' 9""",0.203,62.12,168.2,58.44,54.2,66.67,-0.28,75.62,70.83,21.3,0.529,10.574,9.697,0.879,2.53,69.79,71.17,21.3,1.46,70.3,3.06,69.67,3.8,16.22,8.6,43.8,0.485,0.266,0.203,0.016,0.266,15.71,63.21,-0.16,283.9,10.36,167,47,120,56.3,26.07,23,"20' 5""",0.016,59.26,50,79.41,60.61,31.25,92.31,0.382,50,61.82,0.394,57.14,56.25,68,30,58.62,-0.077,-1,61.67,111,180
Jon Rahm,54.32,1.722,0.27,0.702,"8' 5""",1.586,32.37,"7' 8""",1.52,10.36,38.89,20.29,59.42,10.34,25.74,"34' 7""",0.366,66.18,173.1,74.19,66.7,70.96,-0.33,81.59,79.63,24.49,1.99,41.793,27.047,14.747,1.91,69.58,66.6,24.49,2.16,69.05,2.89,70,4.23,24.39,7.1,44.1,1.288,0.777,0.366,0.144,0.777,13.85,64.19,-0.23,303.8,11.49,21,4,17,55.9,25.34,58,"26' 9""",0.144,64,57.14,92,54.35,29.41,93.33,0.298,91.67,70.21,0.435,70,45.45,34,22,50,E,E,64.35,74,115
Vincent Whaley,57.14,1.751,0.5,0.111,"11' 10""",1.607,32.77,"11' 4""",2.78,10.07,40.56,16.22,62.16,13.73,20.56,"32' 5""",-0.465,58.76,153.6,56.06,50,66.11,-0.29,77.14,68.61,22.04,-0.591,-11.829,-14.058,2.229,2.63,71.05,68.8,22.04,1.32,70.73,3.02,71,3.9,16.87,8.8,57.3,-0.703,-0.053,-0.465,-0.185,-0.053,12.77,57.3,-0.12,289.9,17.52,267,132,135,42.7,30.29,146,"23' 4""",-0.185,31.11,42.86,86.67,59.15,34.62,79.17,0.51,27.78,53.06,0.408,66.07,50,125,30,29.03,0.208,5,58.47,107,183
Kevin Chappell,61.54,1.764,0.68,0.039,"10' 3""",1.599,30.9,"9' 6""",3.94,9.65,40.68,19.05,42.86,13.04,23.13,"32' 3""",-0.222,60.07,156,51.85,47.6,63.8,-0.27,77.64,66.16,21.15,-0.458,-10.082,-10.927,0.848,2.94,70.91,72.33,21.15,1.15,71.35,3.06,70.7,3.71,25.81,6.9,55.3,-0.497,-0.205,-0.222,-0.069,-0.205,15.13,55.26,-0.18,291.7,17.11,365,174,191,44.7,32.24,187,"24' 11""",-0.069,47.27,30,82.76,56.94,28.57,100,0.368,50,64.47,0.431,54.05,45,139,31,50,-0.235,-4,57.92,117,202
Bud Cauley,58.43,1.761,0.31,0.185,"10' 6""",1.585,27.27,"9' 10""",1.72,10.17,40.34,15.49,57.75,8,20,"33' 4""",0.439,61.32,167.1,53.38,52.2,65.87,-0.27,77.65,69.8,19.05,0.839,32.718,25.487,7.234,2.1,70.12,69.78,19.05,1.52,70.02,2.97,69.92,3.33,16.3,8.5,55,0.654,-0.159,0.439,0.373,-0.159,13.84,58.3,-0.18,283.2,15.68,337,194,143,45,29.52,135,"23' 9""",0.373,65.38,63.16,89.36,67.31,38.24,80,0.321,60.98,67.89,0.317,66.67,62.26,9,42,63.93,0.1,2,67.05,173,258
Rickie Fowler,63.53,1.766,0.59,0.332,"11' 10""",1.601,32.83,"9' 11""",3.28,9.73,42.17,36.36,61.36,2.94,22.54,"34' 9""",0.236,61.34,165.9,58.67,47.4,66.92,-0.3,81.91,72.22,22.22,0.641,12.173,5.864,6.309,2.64,69.87,72.5,22.22,1.44,70.5,2.94,68,3.86,23.73,7.1,52.1,0.309,0.15,0.236,-0.077,0.15,12.73,63.3,-0.19,288.3,15.36,195,82,113,47.9,28.09,67,"29' 11""",-0.077,45,33.33,90,60.98,23.53,91.67,0.352,50,64.81,0.39,62.5,59.26,84,22,46.67,0.083,1,61.07,80,131
Robby Shelton,53.95,1.774,0.53,0.065,"11' 4""",1.631,29.69,"10' 3""",2.94,10.53,37.25,21.95,48.78,14.29,20.65,"34' 1""",0.133,61.93,168.6,62.79,61.3,66.99,-0.27,73.66,72.37,20.92,-0.105,-3.902,-6.318,2.419,2.75,71.18,71.7,20.92,1.2,71.02,3.08,71.19,3.71,23.49,6,46.7,-0.171,0.039,0.133,-0.343,0.039,14.15,63.57,-0.14,285.7,13.18,213,102,111,53.3,27.33,88,"21' 8""",-0.343,50.67,61.9,80.39,46.6,25.71,84.85,0.439,45.16,57.14,0.583,55.45,48.57,198,51,50.91,0.091,3,54.46,165,303
Jamie Lovemark,57.65,1.802,0.7,0.236,"10' 11""",1.608,26.87,"10' 4""",3.89,9.85,39.72,20,53.33,14.52,19.83,"32' 2""",0.094,61.05,162.5,46.88,40,63.06,-0.22,73.94,68.42,18.06,0.049,0.931,-3.56,4.491,3,70.86,71.33,18.06,1.02,71.15,3.09,69.86,3.15,22.22,5.8,67.5,-0.187,-0.425,0.094,0.143,-0.425,11.54,51.15,-0.11,285.4,26.54,426,222,204,32.5,38.08,218,"22' 0""",0.143,60,37.5,85,47.92,44.44,100,0.28,65,70,0.563,73.17,40,87,20,54.29,-0.111,-1,60.9,81,133
Wes Roach,45.07,1.774,0.83,-0.622,"12' 7""",1.628,30.37,"12' 1""",4.63,9.94,38.43,12.12,39.39,12.5,19.59,"34' 9""",-0.609,63.6,162.6,52.38,42.1,67.75,-0.27,79.06,73.15,21.91,-0.92,-16.557,-5.358,-11.199,2.67,70.21,69.57,21.91,1.31,70.64,3.06,70.73,3.75,29,7.6,43.4,-0.298,0.125,-0.609,0.186,0.125,15.14,66.14,-0.09,282.3,8.37,205,118,87,56.6,23.51,70,"23' 3""",0.186,39.29,33.33,89.47,60.42,21.43,87.5,0.311,53.33,66.67,0.448,60,44,111,36,45.24,-0.188,-3,59.33,124,209
Tim Wilkinson,55.22,1.756,0.31,-0.015,"10' 8""",1.601,29.09,"10' 1""",1.74,10.41,39.24,26.09,73.91,20,19.16,"31' 1""",0.019,62.87,161.6,44.23,36.4,66.84,-0.28,74.68,72.53,20.66,0.143,2.565,2.843,-0.278,2.28,69.86,69,20.66,1.53,69.97,3.01,70.3,3.66,17.33,4.4,54.3,0.158,-0.057,0.019,0.196,-0.057,8.76,72.11,-0.13,275,11.95,188,72,116,45.7,20.72,9,"25' 7""",0.196,45.1,42.86,79.31,65.28,31.25,91.67,0.263,53.85,65.79,0.347,61.11,40,48,32,46.34,0.083,2,63.35,121,191
Brian Gay,52.67,1.711,0.34,0.213,"10' 6""",1.57,32.72,"10' 0""",1.89,9.85,41.84,14.58,58.33,13.64,21.65,"32' 0""",-0.015,56.73,157.9,36.92,55.8,64.66,-0.31,76.66,66.83,22.34,-0.268,-9.1,-16.356,7.259,2.53,70.66,69,22.34,1.37,70.64,3.04,71,3.96,26.56,9.1,55.1,-0.481,-0.447,-0.015,-0.02,-0.447,14.59,55.81,-0.22,282.4,16.28,388,216,172,44.9,30.87,158,"21' 4""",-0.02,40.45,40,89.19,62.26,32.61,87.5,0.381,47.37,61.9,0.434,60.4,50,115,47,41.79,E,E,58.86,176,299
J.B. Holmes,52.69,1.718,0.46,0.638,"12' 3""",1.551,34.62,"11' 1""",2.55,9.5,41.9,22.45,48.98,11.43,25.54,"37' 1""",-0.334,53.01,165.4,61.54,21.4,60.65,-0.34,71.36,68.13,22.69,0.486,9.24,-2.878,12.118,3.17,69.8,72,22.69,1.21,70.92,3.03,69.86,3.83,22.78,5.2,39.6,-0.151,0.197,-0.334,-0.014,0.197,16.73,58.74,-0.16,296.3,14.13,282,59,223,60.4,30.86,113,"32' 11""",-0.014,44.9,50,81.82,58.33,33.33,93.75,0.345,55.56,63.64,0.417,57.69,50,131,24,40.74,-0.063,-1,58.24,99,170
