player,salary,PTS,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Scoring Average (Actual)-AVG,SG: Putting-AVERAGE,SG: Total-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,SG Magnitude,SG Mag Multiply,Birdie or Better Conversion Percentage-%,One-Putt Percentage-%,Greens in Regulation Percentage-%,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie Average-AVG,Total Driving-ACCURACY RANK,Sand Save Percentage-%,Scrambling-%
Matt Kuchar,8300,65.65,69.63,69.33,69.83,0.767,0.898,0.131,0.12,0.101,-0.091,0.4338,43.38,31.4,39.44,67.41,22.59,1.67,3.97,28,58.54,63.64
Tony Finau,8200,73.73,69.81,68.13,69.61,0,1.521,1.521,0.673,0.505,0.342,0.51515,51.515,32.17,40.12,70.52,23.46,1.69,4.08,185,43.14,61.78
Rickie Fowler,8100,62,69.87,72.5,70.5,0.332,0.641,0.309,0.236,-0.077,0.15,0.26665,26.665,32.83,42.17,66.92,22.22,1.44,3.86,67,45,61.07
Abraham Ancer,8000,72.92,70.08,68.8,69.55,0.209,1.089,0.88,0.422,0.094,0.364,0.3943,39.43,31.64,42.05,67.17,21.84,1.71,3.84,83,51.43,67.31
Matthew Fitzpatrick,7900,71.39,70.2,70.43,70.75,0.381,0.651,0.269,0.121,0.055,0.094,0.28005,28.005,28.27,39.09,65.28,19.44,1.18,3.39,76,50.94,57.71
Jason Kokrak,7900,57.64,70.65,69.75,70.35,-0.131,0.388,0.519,0.139,-0.275,0.654,0.08335,8.335,29.1,36.49,68.62,20.57,1.38,3.68,142,50,61.24
Branden Grace,7800,60.04,70.21,69.8,70.22,-0.237,0.323,0.56,0.509,0.233,-0.183,0.08655,8.655,29.46,37.86,69.14,20.58,1.32,3.67,195,54.72,58
Scottie Scheffler,7800,79.39,68.48,69.67,69.25,-0.092,0.874,0.967,0.328,-0.023,0.663,0.2594,25.94,34.93,41.24,69.23,25.53,1.77,4.4,107,52.17,62.5
Shane Lowry,7800,57.38,70.7,70.75,70.28,-0.56,0.285,0.846,0.201,0.112,0.532,-0.0106,-1.06,25,34.88,70.68,18.52,1.33,3.28,117,61.9,63.16
Louis Oosthuizen,7700,76.19,70.1,70.25,70.28,0.587,-1.011,-1.598,-0.359,-0.73,-0.509,-0.24035,-24.035,30.05,41.05,66.05,20.37,1.2,3.56,104,44.44,53.64
Billy Horschel,7700,67.33,69.72,71.55,70.13,0.328,0.842,0.515,-0.127,0.191,0.45,0.32165,32.165,30.09,39.14,68.64,21.73,1.43,3.8,38,50,57.09
Kevin Kisner,7700,62.5,70.79,67.89,70.56,0.108,0.335,0.226,-0.056,0.121,0.161,0.12505,12.505,27.79,39.32,65.24,19.66,1.34,3.49,26,56.45,63.11
Ian Poulter,7600,57.83,71,68.6,70.27,0.594,1.136,0.542,0.395,0.307,-0.161,0.49465,49.465,28.51,43.43,61.11,18.18,1.2,3.09,160,64.58,64.94
Jason Day,7600,52.44,70.38,70,70.39,-0.197,0.452,0.65,-0.278,1.032,-0.104,0.1342,13.42,30.11,40.34,65.22,21.26,1.38,3.65,180,61.54,61.81
Viktor Hovland,7600,61.71,70.24,69,70.09,0.173,0.473,0.3,0.468,-0.779,0.611,0.16095,16.095,31.8,40.03,67.65,22.39,1.44,3.85,49,44.78,57.58
Brandt Snedeker,7500,68.69,70.18,70.43,69.69,0.564,0.88,0.316,-0.008,0.706,-0.382,0.4117,41.17,31.62,39.85,67.24,23.75,1.77,4.24,116,54.72,62.57
Joel Dahmen,7500,67.39,69.97,69.58,69.88,-0.214,1.098,1.312,0.71,0.123,0.479,0.32825,32.825,31.06,41.18,64.05,21.24,1.46,3.69,40,56.67,64.24
J.T. Poston,7500,65.75,69.66,70.64,69.78,0.709,0.873,0.164,-0.07,0.098,0.135,0.40505,40.505,32.84,42.33,67.22,22.89,1.6,4.04,71,57.14,61.36
Byeong Hun An,7500,69.21,69.76,70.67,70.04,-0.764,0.307,1.07,0.322,0.534,0.215,-0.01815,-1.815,30.53,41.18,67.65,22,1.6,3.88,186,52.13,64.98
Bubba Watson,7400,65.18,69.7,69.43,69.56,0.767,1.351,0.584,0.041,-0.12,0.664,0.5548,55.48,30.45,37.42,66.34,21.9,1.52,3.74,175,53.06,61.17
Corey Conners,7400,61.62,70.5,70.44,70.16,-0.573,0.286,0.859,0.601,-0.325,0.582,-0.01505,-1.505,28.91,33.21,74.37,22.22,1.44,3.89,33,41.79,53.69
Joaquin Niemann,7400,60.38,69.92,70.75,69.98,0.072,0.803,0.731,0.508,-0.103,0.326,0.27555,27.555,30.38,36.9,70.24,21.96,1.48,3.83,179,53.03,58.67
Harold Varner III,7400,63.54,69.47,70.42,69.96,-0.058,1.137,1.194,0.414,0.216,0.564,0.3607,36.07,29.98,37.67,69.67,21.78,1.54,3.84,100,41.98,60.07
Rafa Cabrera Bello,7400,59.23,71.47,70,70.69,0.429,0.3,-0.128,0.045,-0.048,-0.126,0.1759,17.59,30.82,43.1,63.41,19.92,1.28,3.52,59,44.26,63.35
Harris English,7300,73.08,68.64,69.7,69.41,0.457,1.439,0.982,0.37,0.149,0.463,0.54905,54.905,29.27,38.64,72.47,22.1,1.94,3.89,78,46.77,64.68
Kevin Na,7300,63.96,70.07,69.44,70.07,0.769,0.92,0.151,0.343,0.252,-0.444,0.45955,45.955,33.01,43.69,64.77,22.35,1.64,3.93,77,58.43,66.67
Sergio Garcia,7300,64.67,70.75,71,70.86,-0.711,0.255,0.966,-0.368,0.115,1.219,-0.07835,-7.835,27.99,37.12,67.68,19.44,1.18,3.45,101,52.38,57.81
Ryan Palmer,7300,67.3,69.55,71.13,70.03,-0.256,0.138,0.395,0.1,-0.275,0.57,-0.01825,-1.825,32.73,39.81,68.06,23.3,1.47,4.11,50,47.54,59.42
Adam Hadwin,7300,75.11,69.89,69.89,69.49,0.49,1.264,0.774,0.521,0.097,0.156,0.5081,50.81,30.77,39.21,70.32,22.54,1.63,3.94,31,69.09,59.89
Rory Sabbatini,7200,59.15,69.96,69.8,70.26,-0.037,0.267,0.304,-0.136,0.23,0.209,0.07735,7.735,29.29,39.01,67.75,20.77,1.29,3.63,96,65.52,59.18
Graeme McDowell,7200,57.64,71.61,72.29,71.47,-0.16,-0.228,-0.068,0.662,-0.077,-0.654,-0.0712,-7.12,28.94,37.59,64.63,20,1.08,3.5,91,29.41,53.4
Brian Harman,7200,70.15,69.3,70.36,69.48,0.336,0.836,0.5,0.231,0.109,0.161,0.33505,33.505,32.51,43.06,65.97,22.57,1.64,4,62,59.49,65.31
Bud Cauley,7200,61.21,70.12,69.78,70.02,0.185,0.839,0.654,0.439,0.373,-0.159,0.32925,32.925,27.27,40.34,65.87,19.05,1.52,3.33,135,65.38,67.05
Luke List,7200,56.85,71.15,68.38,70.59,-0.253,0.396,0.649,0.331,0.067,0.251,0.0881,8.81,30.56,37.13,68.43,21.95,1.33,3.71,164,58.21,57.08
Jim Furyk,7100,55.57,69.93,69,69.78,0.047,0.596,0.549,0.652,-0.057,-0.047,0.2179,21.79,25.95,31.16,76.33,21.26,1.6,3.78,1,47.37,53.06
