player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Tim Wilkinson,32,.196,3.524,18,32,45.10,23,51,+18.00,32,.00,0,1,32,"2' 7""",28.500,11,48,32,"7' 2""",244.750,34,48,32,+.813,16,+13.00,32,"8' 2""",245.250,30,48,32,"6' 9""",739.333,109,48,32,42.86,6,14,32,79.31,23,29,32,65.28,47,72,32,31.25,5,16,32,91.67,22,24,32,"8' 9""",78.917,9,48,32,"6' 11""",680.500,98,32,"6' 6""",2.650,34,48,32,+.263,38,+10.00,32,53.85,7,13,32,65.79,25,38,32,"8' 3""",247.083,30,48,32,+.347,72,+25.00,32,61.11,33,54,32,40.00,10,25,32,"6' 6""",287.083,44,48,32,+.600,25,+15.00,32,"4' 10""",126.250,26,48,32,46.34,19,41,32,+.083,24,+2.00,32,63.35,121,191,32,50.00,2,4
Daniel Berger,38,.192,5.758,30,38,60.00,33,55,+10.00,38,80.00,4,5,38,"2' 1""",29.083,14,10,38,"7' 7""",502.167,66,10,38,+.960,25,+24.00,38,"9' 4""",381.000,41,10,38,"7' 2""","1,319.333",185,10,38,50.00,6,12,38,92.68,38,41,38,70.51,55,78,38,20.00,5,25,38,92.86,13,14,38,"13' 5""",307.667,23,10,38,"7' 10""","1,212.250",155,38,"6' 4""",4.885,64,10,38,+.307,75,+23.00,38,60.00,15,25,38,70.67,53,75,38,"8' 6""",314.667,37,10,38,+.244,78,+19.00,38,60.87,42,69,38,58.62,17,29,38,"6' 6""",546.250,84,10,38,+.379,29,+11.00,38,"3' 8""",150.750,41,10,38,58.82,20,34,38,E,14,E,38,66.82,141,211,38,50.00,2,4
Billy Horschel,45,.191,4.783,25,45,50.00,38,76,+31.00,45,83.33,5,6,45,"5' 2""",57.083,11,159,45,"8' 2""",392.917,48,159,45,+.750,20,+15.00,45,"8' 4""",356.917,43,159,45,"7' 4""","1,150.250",156,159,45,33.33,3,9,45,86.11,31,36,45,57.81,37,64,45,40.00,8,20,45,93.75,15,16,45,"15' 10""",268.583,17,159,45,"7' 5""",994.500,134,45,"6' 4""",4.120,54,159,45,+.467,60,+28.00,45,44.44,12,27,45,53.33,32,60,45,"8' 2""",333.583,41,159,45,+.422,64,+27.00,45,55.26,42,76,45,58.82,20,34,45,"7' 1""",462.333,65,159,45,+.382,34,+13.00,45,"2' 7""",85.750,33,159,45,45.00,18,40,45,-.063,16,-1.00,45,57.09,145,254,45,40.00,2,5
Wes Roach,36,.186,3.352,18,36,39.29,22,56,+28.00,36,50.00,1,2,36,"4' 2""",54.417,13,111,36,"8' 7""",413.083,48,111,36,+1.214,14,+17.00,36,"11' 1""",299.833,27,111,36,"8' 1""",936.917,116,111,36,33.33,4,12,36,89.47,17,19,36,60.42,58,96,36,21.43,3,14,36,87.50,14,16,36,"15' 1""",196.417,13,111,36,"9' 2""",852.167,93,36,"6' 1""",2.035,28,111,36,+.311,45,+14.00,36,53.33,8,15,36,66.67,30,45,36,"10' 7""",329.333,31,111,36,+.448,96,+43.00,36,60.00,33,55,36,44.00,11,25,36,"6' 8""",333.167,50,111,36,+.600,25,+15.00,36,"3' 7""",78.000,22,111,36,45.24,19,42,36,-.188,16,-3.00,36,59.33,124,209,36,.00,0,2
Grayson Murray,29,.181,4.333,24,29,40.74,22,54,+20.00,29,66.67,2,3,29,"1' 11""",25.000,13,148,29,"6' 10""",449.500,66,148,29,+1.148,27,+31.00,29,"9' 0""",377.000,42,148,29,"6' 9""","1,187.583",177,148,29,33.33,3,9,29,86.05,37,43,29,59.72,43,72,29,22.22,6,27,29,94.74,18,19,29,"9' 9""",184.833,19,148,29,"7' 3""","1,026.167",142,29,"6' 0""",4.033,56,148,29,+.468,62,+29.00,29,42.31,11,26,29,56.45,35,62,29,"9' 8""",337.917,35,148,29,+.472,72,+34.00,29,55.74,34,61,29,56.00,14,25,29,"6' 3""",492.250,79,148,29,+.480,25,+12.00,29,"3' 11""",172.583,44,148,29,37.84,14,37,29,-.053,19,-1.00,29,57.37,109,190,29,28.57,2,7
Bronson Burgoon,37,.173,5.005,29,37,59.57,28,47,+9.00,37,80.00,4,5,37,"2' 8""",55.667,21,86,37,"7' 1""",526.583,74,86,37,+.840,25,+21.00,37,"8' 0""",263.833,33,86,37,"6' 11""","1,273.917",184,86,37,63.64,7,11,37,90.70,39,43,37,59.34,54,91,37,20.00,5,25,37,82.61,19,23,37,"11' 8""",221.000,19,86,37,"7' 8""","1,202.000",157,37,"7' 8""",5.134,56,86,37,+.284,74,+21.00,37,66.67,12,18,37,68.92,51,74,37,"9' 5""",403.583,43,86,37,+.396,91,+36.00,37,60.94,39,64,37,60.00,18,30,37,"6' 7""",512.583,78,86,37,+.400,30,+12.00,37,"3' 1""",136.750,44,86,37,51.35,19,37,37,+.087,23,+2.00,37,60.93,131,215,37,20.00,1,5
Scott Stallings,41,.169,4.569,27,41,49.06,26,53,+25.00,41,.00,0,1,41,"2' 11""",37.583,13,89,41,"7' 4""",452.833,62,89,41,+.963,27,+26.00,41,"10' 6""",325.000,31,89,41,"7' 0""","1,094.083",156,89,41,33.33,5,15,41,96.43,27,28,41,62.14,64,103,41,25.93,7,27,41,83.33,15,18,41,"12' 9""",267.333,21,89,41,"8' 8""","1,239.083",143,41,"5' 7""",3.344,50,89,41,+.412,68,+28.00,41,50.00,12,24,41,61.76,42,68,41,"8' 6""",305.000,36,89,41,+.388,103,+40.00,41,62.69,42,67,41,50.00,17,34,41,"6' 3""",430.583,69,89,41,+.529,34,+18.00,41,"3' 0""",91.167,30,89,41,47.83,22,46,41,+.111,18,+2.00,41,60.85,143,235,41,.00,0,1
Cameron Tringale,46,.162,5.821,36,46,56.25,36,64,+20.00,46,100.00,4,4,46,"2' 11""",76.000,26,23,46,"6' 7""",579.500,88,23,46,+.897,29,+26.00,46,"8' 7""",435.917,51,23,46,"6' 9""","1,540.167",229,23,46,61.11,11,18,46,92.98,53,57,46,58.00,58,100,46,27.59,8,29,46,93.94,31,33,46,"12' 5""",322.250,26,23,46,"7' 5""","1,443.083",195,46,"7' 0""",5.385,64,23,46,+.333,78,+26.00,46,50.00,15,30,46,65.38,51,78,46,"8' 7""",495.667,58,23,46,+.450,100,+45.00,46,66.67,54,81,46,60.42,29,48,46,"5' 11""",536.083,91,23,46,+.396,48,+19.00,46,"3' 5""",186.167,54,23,46,56.52,26,46,46,-.091,33,-3.00,46,65.00,169,260,46,.00,0,4
Jason Dufner,38,.160,5.133,32,38,53.42,39,73,+24.00,38,50.00,2,4,38,"2' 1""",39.833,19,69,38,"6' 4""",411.000,65,69,38,+.900,30,+27.00,38,"8' 6""",486.000,57,69,38,"6' 4""","1,289.750",204,69,38,59.09,13,22,38,85.42,41,48,38,58.54,48,82,38,26.67,8,30,38,100.00,21,21,38,"9' 7""",269.167,28,69,38,"7' 1""","1,289.000",181,38,"5' 7""",4.235,63,69,38,+.404,89,+36.00,38,51.61,16,31,38,59.55,53,89,38,"8' 4""",324.167,39,69,38,+.476,82,+39.00,38,57.33,43,75,38,51.61,16,31,38,"6' 3""",565.333,91,69,38,+.516,31,+16.00,38,"2' 10""",131.083,46,69,38,57.14,32,56,38,-.143,21,-3.00,38,61.54,144,234,38,33.33,2,6
Bill Haas,32,.160,3.525,22,32,51.02,25,49,+15.00,32,25.00,1,4,32,"1' 3""",8.500,7,186,32,"8' 4""",317.583,38,186,32,+1.208,24,+29.00,32,"7' 8""",237.917,31,186,32,"7' 11""","1,000.583",126,186,32,50.00,4,8,32,72.00,18,25,32,50.00,30,60,32,12.50,3,24,32,88.00,22,25,32,"14' 8""",336.750,23,186,32,"8' 8""",889.750,103,32,"8' 9""",5.239,50,186,32,+.455,44,+20.00,32,47.37,9,19,32,52.27,23,44,32,"8' 9""",287.583,33,186,32,+.583,60,+35.00,32,50.85,30,59,32,50.00,12,24,32,"6' 0""",269.833,45,186,32,+.500,24,+12.00,32,"4' 3""",106.417,25,186,32,50.00,19,38,32,-.040,25,-1.00,32,55.49,101,182,32,66.67,2,3
Nate Lashley,36,.159,4.612,29,36,44.07,26,59,+26.00,36,40.00,2,5,36,"3' 2""",72.667,23,188,36,"8' 2""",383.750,47,188,36,+.759,29,+22.00,36,"8' 8""",389.333,45,188,36,"7' 7""","1,378.833",182,188,36,52.17,12,23,36,83.72,36,43,36,48.94,23,47,36,31.03,9,29,36,96.55,28,29,36,"11' 5""",354.667,31,188,36,"8' 3""","1,265.000",154,36,"7' 11""",6.397,67,188,36,+.456,57,+26.00,36,31.58,6,19,36,52.63,30,57,36,"8' 3""",371.000,45,188,36,+.532,47,+25.00,36,52.05,38,73,36,60.00,24,40,36,"7' 9""",527.333,68,188,36,+.400,40,+16.00,36,"3' 4""",125.833,38,188,36,40.91,18,44,36,-.034,29,-1.00,36,55.41,123,222,36,75.00,3,4
Zac Blair,52,.158,5.698,36,52,57.43,58,101,+38.00,52,71.43,5,7,52,"2' 2""",50.583,23,41,52,"7' 11""",626.583,79,41,52,+.882,51,+45.00,52,"6' 10""",445.083,65,41,52,"6' 7""","1,544.167",235,41,52,40.00,8,20,52,89.58,43,48,52,61.19,82,134,52,29.41,15,51,52,96.30,26,27,52,"15' 0""",434.250,29,41,52,"8' 4""","1,861.667",223,52,"6' 2""",5.063,68,41,52,+.298,104,+31.00,52,68.18,30,44,52,72.12,75,104,52,"7' 11""",356.167,45,41,52,+.440,134,+59.00,52,64.36,65,101,52,47.83,22,46,52,"5' 3""",577.833,110,41,52,+.565,46,+26.00,52,"3' 5""",175.917,51,41,52,57.83,48,83,52,-.074,27,-2.00,52,63.87,221,346,52,16.67,1,6
Roger Sloan,33,.155,3.093,20,33,54.55,36,66,+30.00,33,100.00,1,1,33,"2' 9""",30.083,11,80,33,"6' 10""",329.000,48,80,33,+.750,28,+21.00,33,"7' 9""",239.417,31,80,33,"6' 11""",930.000,135,80,33,43.75,7,16,33,88.89,24,27,33,59.74,46,77,33,35.71,10,28,33,93.33,14,15,33,"12' 9""",217.333,17,80,33,"9' 1""","1,119.167",123,33,"7' 4""",3.978,45,80,33,+.471,51,+24.00,33,42.11,8,19,33,66.67,34,51,33,"7' 6""",305.917,41,80,33,+.429,77,+33.00,33,64.79,46,71,33,43.75,14,32,33,"6' 9""",342.500,51,80,33,+.594,32,+19.00,33,"2' 6""",64.250,26,80,33,49.02,25,51,33,-.067,15,-1.00,33,61.21,131,214,33,20.00,1,5
Xander Schauffele,34,.154,3.840,25,34,55.56,30,54,+8.00,34,100.00,2,2,34,"3' 7""",54.000,15,12,34,"8' 7""",367.667,43,12,34,+.765,17,+13.00,34,"9' 1""",363.750,40,12,34,"7' 6""","1,143.917",152,12,34,55.56,5,9,34,90.32,28,31,34,58.82,20,34,34,35.29,6,17,34,100.00,16,16,34,"12' 6""",412.000,33,12,34,"6' 11""",804.667,116,34,"6' 8""",4.302,54,12,34,+.333,54,+18.00,34,60.00,18,30,34,66.67,36,54,34,"8' 1""",242.583,30,12,34,+.412,34,+14.00,34,73.33,33,45,34,73.68,14,19,34,"6' 5""",386.083,60,12,34,+.263,19,+5.00,34,"3' 7""",103.250,29,12,34,58.06,18,31,34,E,16,E,34,66.46,109,164,34,33.33,2,6
Josh Teater,29,.152,2.286,15,29,39.02,16,41,+17.00,29,40.00,2,5,29,"3' 0""",35.750,12,219,29,"8' 8""",312.250,36,219,29,+1.353,17,+23.00,29,"9' 6""",217.667,23,219,29,"7' 1""",660.250,93,219,29,40.00,2,5,29,68.18,15,22,29,46.97,31,66,29,.00,0,17,29,94.12,16,17,29,"6' 2""",37.167,6,219,29,"9' 6""",730.583,77,29,"4' 4""",1.135,22,219,29,+.515,33,+17.00,29,46.67,7,15,29,57.58,19,33,29,"10' 9""",290.417,27,219,29,+.621,66,+41.00,29,51.28,20,39,29,50.00,9,18,29,"6' 7""",229.667,35,219,29,+.611,18,+11.00,29,"4' 1""",103.000,25,219,29,35.48,11,31,29,E,17,E,29,50.98,78,153,29,100.00,1,1
Harris English,44,.149,5.372,36,44,46.77,29,62,+12.00,44,66.67,2,3,44,"4' 1""",68.833,17,29,44,"7' 5""",474.917,64,29,44,+.704,27,+19.00,44,"8' 6""",425.250,50,29,44,"7' 5""","1,584.750",213,29,44,26.32,5,19,44,96.67,29,30,44,66.67,46,69,44,40.74,11,27,44,93.33,14,15,44,"8' 7""",241.417,28,29,44,"7' 6""","1,229.000",164,44,"7' 6""",7.389,82,29,44,+.288,73,+21.00,44,48.00,12,25,44,69.86,51,73,44,"9' 7""",611.750,64,29,44,+.304,69,+21.00,44,63.27,62,98,44,51.11,23,45,44,"7' 1""",615.583,87,29,44,+.444,45,+20.00,44,"3' 5""",116.000,34,29,44,52.78,19,36,44,E,15,E,44,64.68,141,218,44,50.00,3,6
Matt Jones,50,.147,5.583,38,50,58.24,53,91,+16.00,50,.00,0,1,50,"4' 10""",48.167,10,96,50,"8' 4""",567.250,68,96,50,+.794,34,+27.00,50,"9' 1""",535.167,59,96,50,"7' 6""","1,836.917",244,96,50,50.00,9,18,50,86.11,31,36,50,58.33,49,84,50,32.35,11,34,50,86.67,13,15,50,"10' 5""",373.500,36,96,50,"7' 10""","1,701.833",217,50,"6' 5""",8.236,107,96,50,+.354,113,+40.00,50,60.47,26,43,50,64.60,73,113,50,"9' 5""",518.500,55,96,50,+.464,84,+39.00,50,60.48,75,124,50,56.00,28,50,50,"7' 1""",842.417,119,96,50,+.440,50,+22.00,50,"3' 0""",102.500,34,96,50,54.84,34,62,50,+.133,15,+2.00,50,60.07,182,303,50,28.57,2,7
Brice Garnett,42,.147,4.263,29,42,51.39,37,72,+22.00,42,33.33,1,3,42,"2' 11""",56.083,19,44,42,"9' 10""",559.750,57,44,42,+1.000,25,+25.00,42,"9' 3""",461.250,50,44,42,"8' 5""","1,498.667",178,44,42,55.56,10,18,42,88.00,22,25,42,58.02,47,81,42,16.00,4,25,42,89.66,26,29,42,"14' 2""",353.833,25,44,42,"8' 2""","1,205.083",148,42,"8' 1""",5.059,52,44,42,+.250,68,+17.00,42,55.17,16,29,42,72.06,49,68,42,"8' 10""",452.250,51,44,42,+.432,81,+35.00,42,67.61,48,71,42,55.81,24,43,42,"7' 9""",571.000,74,44,42,+.488,43,+21.00,42,"4' 4""",121.583,28,44,42,53.45,31,58,42,E,29,E,42,63.60,152,239,42,16.67,1,6
Jon Rahm,22,.144,3.027,21,22,64.00,16,25,+2.00,22,.00,0,1,22,"2' 4""",36.917,16,34,22,"9' 10""",509.667,52,34,22,+.765,17,+13.00,22,"9' 6""",189.667,20,34,22,"8' 1""","1,115.667",138,34,22,57.14,4,7,22,92.00,23,25,22,54.35,25,46,22,29.41,5,17,22,93.33,14,15,22,"14' 10""",282.083,19,34,22,"8' 8""",917.750,106,22,"7' 7""",4.553,50,34,22,+.298,47,+14.00,22,91.67,11,12,22,70.21,33,47,22,"10' 1""",412.583,41,34,22,+.435,46,+20.00,22,70.00,28,40,22,45.45,10,22,22,"6' 8""",355.000,53,34,22,+.545,22,+12.00,22,"2' 8""",66.000,25,34,22,50.00,7,14,22,E,15,E,22,64.35,74,115,22,25.00,1,4
Jamie Lovemark,20,.143,2.719,19,20,60.00,24,40,+12.00,20,62.50,5,8,20,"2' 11""",20.667,7,87,20,"9' 2""",376.333,41,87,20,+.630,27,+17.00,20,"7' 1""",256.250,36,87,20,"7' 7""",882.833,116,87,20,37.50,3,8,20,85.00,17,20,20,47.92,23,48,20,44.44,12,27,20,100.00,9,9,20,"11' 4""",169.500,15,87,20,"8' 11""",953.500,107,20,"7' 2""",2.755,32,87,20,+.280,50,+14.00,20,65.00,13,20,20,70.00,35,50,20,"9' 1""",244.333,27,87,20,+.563,48,+27.00,20,73.17,30,41,20,40.00,10,25,20,"7' 3""",377.833,52,87,20,+.640,25,+16.00,20,"4' 2""",91.167,22,87,20,54.29,19,35,20,-.111,9,-1.00,20,60.90,81,133,20,100.00,3,3
Talor Gooch,54,.140,6.424,46,54,53.00,53,100,+35.00,54,77.78,7,9,54,"2' 4""",41.250,18,122,54,"7' 9""",694.583,90,122,54,+.872,47,+41.00,54,"8' 8""",713.750,82,122,54,"7' 5""","2,067.000",279,122,54,59.09,13,22,54,87.76,43,49,54,53.27,57,107,54,23.40,11,47,54,94.12,16,17,54,"12' 7""",553.333,44,122,54,"8' 11""","2,089.667",235,54,"6' 11""",7.409,89,122,54,+.396,106,+42.00,54,57.14,28,49,54,63.21,67,106,54,"8' 2""",538.583,66,122,54,+.495,107,+53.00,54,63.16,72,114,54,53.45,31,58,54,"6' 9""",770.583,114,122,54,+.483,58,+28.00,54,"3' 9""",204.500,55,122,54,52.00,39,75,54,-.059,17,-1.00,54,58.60,184,314,54,15.38,2,13
C.T. Pan,30,.139,2.362,17,30,47.46,28,59,+23.00,30,100.00,1,1,30,"5' 2""",41.083,8,107,30,"7' 2""",229.417,32,107,30,+.857,21,+18.00,30,"10' 2""",365.000,36,107,30,"8' 9""","1,052.083",120,107,30,29.41,5,17,30,68.75,11,16,30,64.29,27,42,30,38.10,8,21,30,75.00,6,8,30,"12' 6""",325.000,26,107,30,"8' 0""",808.417,101,30,"9' 6""",4.999,44,107,30,+.340,47,+16.00,30,56.25,9,16,30,65.96,31,47,30,"10' 2""",316.000,31,107,30,+.381,42,+16.00,30,63.16,36,57,30,37.04,10,27,30,"7' 9""",379.833,49,107,30,+.630,27,+17.00,30,"2' 3""",31.250,14,107,30,46.88,15,32,30,E,8,E,30,59.44,107,180,30,40.00,2,5
Maverick McNealy,54,.135,4.859,36,54,63.73,65,102,+22.00,54,50.00,2,4,54,"2' 7""",44.583,17,13,54,"8' 1""",516.167,64,13,54,+.784,37,+29.00,54,"9' 1""",599.000,66,13,54,"7' 8""","1,626.667",212,13,54,52.38,11,21,54,80.95,34,42,54,62.28,71,114,54,35.14,13,37,54,84.62,22,26,54,"12' 3""",403.000,33,13,54,"8' 4""","1,452.667",175,54,"7' 2""",5.603,65,13,54,+.256,82,+21.00,54,63.16,24,38,54,70.73,58,82,54,"7' 9""",379.250,49,13,54,+.412,114,+47.00,54,67.02,63,94,54,58.33,21,36,54,"7' 7""",731.583,96,13,54,+.389,36,+14.00,54,"3' 4""",112.833,34,13,54,66.67,52,78,54,E,26,E,54,66.45,208,313,54,55.56,5,9
Xinjun Zhang,57,.130,5.062,39,57,48.98,48,98,+35.00,57,42.86,3,7,57,"3' 5""",68.583,20,176,57,"7' 3""",591.917,82,176,57,+.897,39,+35.00,57,"9' 4""",614.417,66,176,57,"7' 0""","1,741.750",249,176,57,46.67,14,30,57,82.61,38,46,57,53.57,60,112,57,20.51,8,39,57,96.15,25,26,57,"8' 1""",251.250,31,176,57,"9' 0""","1,934.333",214,57,"5' 9""",5.602,81,176,57,+.431,102,+44.00,57,46.88,15,32,57,58.82,60,102,57,"9' 0""",578.333,64,176,57,+.446,112,+50.00,57,58.42,59,101,57,47.06,24,51,57,"7' 1""",731.583,103,176,57,+.549,51,+28.00,57,"3' 6""",180.583,51,176,57,45.83,33,72,57,-.231,26,-6.00,57,55.82,187,335,57,50.00,4,8
Wyndham Clark,43,.125,3.508,28,43,50.77,33,65,+24.00,43,50.00,1,2,43,"3' 0""",50.583,17,149,43,"8' 8""",632.417,73,149,43,+1.000,42,+42.00,43,"8' 11""",373.750,42,149,43,"8' 0""","1,718.417",215,149,43,46.15,6,13,43,90.91,30,33,43,55.41,41,74,43,23.81,10,42,43,94.74,18,19,43,"12' 3""",488.667,40,149,43,"8' 5""","1,467.167",175,43,"8' 0""",7.940,83,149,43,+.367,79,+29.00,43,53.85,14,26,43,63.29,50,79,43,"9' 10""",539.583,55,149,43,+.486,74,+36.00,43,59.05,62,105,43,57.78,26,45,43,"6' 11""",584.583,85,149,43,+.444,45,+20.00,43,"3' 0""",105.583,35,149,43,35.90,14,39,43,-.105,19,-2.00,43,57.35,160,279,43,50.00,4,8
Joel Dahmen,51,.123,4.297,35,51,56.67,51,90,+25.00,51,100.00,4,4,51,"3' 3""",86.917,27,37,51,"8' 0""",553.667,69,37,51,+.700,30,+21.00,51,"7' 11""",427.000,54,37,51,"6' 9""","1,536.667",228,37,51,47.83,11,23,51,85.48,53,62,51,66.30,61,92,51,36.67,11,30,51,86.67,26,30,51,"9' 1""",163.250,18,37,51,"7' 7""","1,568.000",206,51,"6' 0""",5.629,78,37,51,+.307,88,+27.00,51,64.71,22,34,51,69.32,61,88,51,"9' 11""",515.083,52,37,51,+.359,92,+33.00,51,64.95,63,97,51,51.11,23,45,51,"6' 9""",651.417,96,37,51,+.533,45,+24.00,51,"3' 4""",206.917,62,37,51,60.71,34,56,51,-.033,30,-1.00,51,64.24,212,330,51,50.00,1,2
Kevin Kisner,39,.121,2.655,22,39,56.45,35,62,+21.00,39,50.00,1,2,39,"2' 8""",48.083,18,52,39,"6' 3""",243.000,39,52,39,+.813,16,+13.00,39,"9' 4""",317.333,34,52,39,"6' 7""",948.917,144,52,39,55.56,5,9,39,93.94,31,33,39,66.67,44,66,39,25.00,4,16,39,81.82,18,22,39,"9' 0""",162.000,18,52,39,"7' 3""",951.583,132,39,"6' 5""",4.086,53,52,39,+.270,63,+17.00,39,62.50,15,24,39,74.60,47,63,39,"9' 0""",288.833,32,52,39,+.333,66,+22.00,39,66.67,44,66,39,53.85,14,26,39,"6' 6""",414.417,64,52,39,+.500,26,+13.00,39,"2' 9""",83.667,30,52,39,57.50,23,40,39,E,22,E,39,63.11,154,244,39,50.00,2,4
