,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
90,G,Chase Seiffert (14696022),Chase Seiffert,14696022,G,6200,Rocket Mortgage Classic,Golf,0.1608
91,G,Scott Brown (14696023),Scott Brown,14696023,G,6200,Rocket Mortgage Classic,Golf,0.20929999999999999
92,G,Roger Sloan (14696024),Roger Sloan,14696024,G,6200,Rocket Mortgage Classic,Golf,0.11604999999999996
93,G,Scott Harrington (14696025),Scott Harrington,14696025,G,6100,Rocket Mortgage Classic,Golf,-0.0020499999999999963
94,G,Matt Every (14696026),Matt Every,14696026,G,6100,Rocket Mortgage Classic,Golf,-0.15115
95,G,Rhein Gibson (14696027),Rhein Gibson,14696027,G,6100,Rocket Mortgage Classic,Golf,-0.006750000000000001
96,G,Jonathan Byrd (14696028),Jonathan Byrd,14696028,G,6100,Rocket Mortgage Classic,Golf,0.002550000000000002
97,G,Arjun Atwal (14696029),Arjun Atwal,14696029,G,6100,Rocket Mortgage Classic,Golf,-0.02765
98,G,Chris Baker (14696030),Chris Baker,14696030,G,6100,Rocket Mortgage Classic,Golf,0.33875000000000005
99,G,Mark Anderson (14696031),Mark Anderson,14696031,G,6100,Rocket Mortgage Classic,Golf,0.0022499999999999864
100,G,Brian Gay (14696032),Brian Gay,14696032,G,6100,Rocket Mortgage Classic,Golf,0.20634999999999998
101,G,Roberto Castro (14696033),Roberto Castro,14696033,G,6100,Rocket Mortgage Classic,Golf,-0.004699999999999999
102,G,Nelson Ledesma (14696034),Nelson Ledesma,14696034,G,6100,Rocket Mortgage Classic,Golf,-0.36045000000000005
103,G,Lucas Bjerregaard (14696035),Lucas Bjerregaard,14696035,G,6100,Rocket Mortgage Classic,Golf,0.04500000000000001
104,G,Xinjun Zhang (14696038),Xinjun Zhang,14696038,G,6100,Rocket Mortgage Classic,Golf,-0.08549999999999999
105,G,Rob Oppenheim (14696039),Rob Oppenheim,14696039,G,6100,Rocket Mortgage Classic,Golf,-0.48735
106,G,Johnson Wagner (14696040),Johnson Wagner,14696040,G,6100,Rocket Mortgage Classic,Golf,-0.09515
107,G,John Senden (14696041),John Senden,14696041,G,6000,Rocket Mortgage Classic,Golf,-0.25985
108,G,David Hearn (14696042),David Hearn,14696042,G,6000,Rocket Mortgage Classic,Golf,-0.16619999999999996
109,G,Ricky Barnes (14696043),Ricky Barnes,14696043,G,6000,Rocket Mortgage Classic,Golf,0.24665
110,G,Kramer Hickok (14696044),Kramer Hickok,14696044,G,6000,Rocket Mortgage Classic,Golf,-0.16350000000000003
111,G,Ben Taylor (14696045),Ben Taylor,14696045,G,6000,Rocket Mortgage Classic,Golf,-0.0955
112,G,Sebastian Cappelen (14696046),Sebastian Cappelen,14696046,G,6000,Rocket Mortgage Classic,Golf,0.18355000000000002
113,G,Michael Kim (14696047),Michael Kim,14696047,G,6000,Rocket Mortgage Classic,Golf,0.0431
114,G,Bo Van Pelt (14696048),Bo Van Pelt,14696048,G,6000,Rocket Mortgage Classic,Golf,0.34290000000000004
115,G,Dominic Bozzelli (14696049),Dominic Bozzelli,14696049,G,6000,Rocket Mortgage Classic,Golf,-0.04000000000000001
116,G,Seamus Power (14696051),Seamus Power,14696051,G,6000,Rocket Mortgage Classic,Golf,-0.12430000000000001
117,G,Michael Gellerman (14696052),Michael Gellerman,14696052,G,6000,Rocket Mortgage Classic,Golf,-0.009599999999999997
118,G,Michael Gligic (14696053),Michael Gligic,14696053,G,6000,Rocket Mortgage Classic,Golf,0.21295000000000003
119,G,Martin Trainer (14696054),Martin Trainer,14696054,G,6000,Rocket Mortgage Classic,Golf,-0.1488
120,G,D.J. Trahan (14696055),D.J. Trahan,14696055,G,6000,Rocket Mortgage Classic,Golf,-0.20775
121,G,Ryan Brehm (14696057),Ryan Brehm,14696057,G,6000,Rocket Mortgage Classic,Golf,0.13884999999999995
122,G,Doug Ghim (14696058),Doug Ghim,14696058,G,6000,Rocket Mortgage Classic,Golf,0.31395
123,G,Robby Shelton (14696060),Robby Shelton,14696060,G,6000,Rocket Mortgage Classic,Golf,-0.06605
124,G,George McNeill (14702202),George McNeill,14702202,G,6000,Rocket Mortgage Classic,Golf,0.47405
