SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,SG: Approach the Green-ROUNDS,SG: Approach the Green-AVERAGE,SG: Approach the Green-TOTAL SG:APP,SG: Approach the Green-MEASURED ROUNDS,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Name
56,-.083,-3.645,44,56,-.297,-13.076,44,56,-.063,-2.772,.875,-3.645,44,56,.020,.255,-.297,.062,44,56,.255,11.241,44,56,.062,2.707,44,Matt Jones
18,-.318,-3.821,12,18,-.996,-11.946,12,18,-2.585,-31.020,-27.199,-3.821,12,18,-2.267,-1.513,-.996,.242,12,18,-1.513,-18.161,12,18,.242,2.909,12,Michael Kim
49,.082,2.706,33,49,.119,3.943,33,49,.552,18.212,15.507,2.706,33,49,.470,.330,.119,.020,33,49,.330,10.906,33,49,.020,.656,33,Kevin Streelman
45,.113,4.751,42,45,.511,21.473,42,45,.721,30.282,25.534,4.751,42,45,.608,-.208,.511,.304,42,45,-.208,-8.728,42,45,.304,12.786,42,Bud Cauley
53,-.143,-5.581,39,53,.561,21.865,39,53,.208,8.122,13.706,-5.581,39,53,.351,-.209,.561,.000,39,53,-.209,-8.163,39,53,.000,.001,39,Russell Knox
54,-.138,-5.523,40,54,-.471,-18.852,40,54,-.378,-15.139,-9.616,-5.523,40,54,-.240,.212,-.471,.019,40,54,.212,8.496,40,54,.019,.743,40,Scott Brown
21,-1.470,-14.696,10,21,-.495,-4.947,10,21,-2.340,-23.404,-8.708,-14.696,10,21,-.871,-.455,-.495,.079,10,21,-.455,-4.552,10,21,.079,.791,10,Arjun Atwal
52,.198,6.724,34,52,.795,27.029,34,52,1.423,48.397,41.674,6.724,34,52,1.226,.383,.795,.048,34,52,.383,13.011,34,52,.048,1.631,34,Abraham Ancer
36,.049,1.087,22,36,.131,2.881,22,36,-.260,-5.724,-6.810,1.087,22,36,-.310,-.290,.131,-.150,22,36,-.290,-6.384,22,36,-.150,-3.308,22,Ben Taylor
41,-.241,-8.192,34,41,-.111,-3.758,34,41,-.075,-2.535,5.658,-8.192,34,41,.166,.291,-.111,-.014,34,41,.291,9.891,34,41,-.014,-.476,34,Andrew Landry
44,.082,2.690,33,44,-.261,-8.597,33,44,-.170,-5.619,-8.307,2.690,33,44,-.252,.519,-.261,-.510,33,44,.519,17.124,33,44,-.510,-16.838,33,Matthew Wolff
36,-1.116,-29.007,26,36,-.146,-3.789,26,36,-1.215,-31.586,-2.579,-29.007,26,36,-.099,-.254,-.146,.300,26,36,-.254,-6.593,26,36,.300,7.804,26,Bill Haas
24,.171,2.911,17,24,-.080,-1.367,17,24,-.399,-6.781,-9.690,2.911,17,24,-.570,-1.142,-.080,.652,17,24,-1.142,-19.413,17,24,.652,11.088,17,Luke Donald
44,-.175,-5.426,31,44,-.266,-8.240,31,44,.205,6.358,11.787,-5.426,31,44,.380,.736,-.266,-.090,31,44,.736,22.822,31,44,-.090,-2.798,31,Jhonattan Vegas
38,-.018,-.425,24,38,-.340,-8.168,24,38,-.379,-9.102,-8.676,-.425,24,38,-.362,.174,-.340,-.195,24,38,.174,4.184,24,38,-.195,-4.691,24,Michael Gligic
18,-.103,-1.448,14,18,.312,4.361,14,18,.719,10.062,11.510,-1.448,14,18,.822,.248,.312,.263,14,18,.248,3.470,14,18,.263,3.678,14,Erik van Rooyen
57,-.107,-4.715,44,57,.297,13.087,44,57,-.022,-.986,3.730,-4.715,44,57,.085,.001,.297,-.214,44,57,.001,.062,44,57,-.214,-9.422,44,Tyler Duncan
42,-.187,-6.364,34,42,-.653,-22.216,34,42,-1.240,-42.145,-35.781,-6.364,34,42,-1.052,.227,-.653,-.626,34,42,.227,7.718,34,42,-.626,-21.283,34,Jim Herman
50,.014,.469,34,50,-.095,-3.240,34,50,.405,13.786,13.319,.469,34,50,.392,.207,-.095,.280,34,50,.207,7.033,34,50,.280,9.521,34,Rory Sabbatini
46,-.520,-18.191,35,46,.108,3.764,35,46,-.032,-1.127,17.067,-18.191,35,46,.488,.170,.108,.210,35,46,.170,5.954,35,46,.210,7.345,35,Keegan Bradley
