Name,SG: Putting-AVERAGE,SG: Approach the Green-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Around-the-Green-AVERAGE
Shawn Stefani,-0.386,-0.454,-0.563,0.044,-0.154
Chris Kirk,-0.829,-0.118,-0.017,0.128,-0.027
Kramer Hickok,-0.391,-0.58,-0.074,0.084,0.423
Kurt Kitayama,-0.739,0.033,0.47,0.199,0.238
C.T. Pan,-0.986,0.055,-0.074,-0.246,0.117
Robert Streb,-0.383,-0.033,-0.314,-0.047,-0.234
D.J. Trahan,-0.51,0.311,0.474,0.221,-0.058
Roberto Castro,-0.236,0.057,0.419,0.164,0.198
Bo Van Pelt,-0.807,-0.977,-1.879,-0.773,-0.129
Emiliano Grillo,-1.141,0.79,0.671,0.043,-0.163
Jason Dufner,-0.732,0.267,0.524,0.126,0.131
Kevin Tway,-0.345,0,-0.289,-0.594,0.304
