Name,Scoring Average (Actual)-AVG,Score,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Xinjun Zhang,70.61,26.9809,59.47,30.7,58.82,55.82,96.15,48.98,53.57,4.25,2.82,-0.108,0.13,0.277,-0.041,0.367
Mackenzie Hughes,71.05,27.50765,56.69,29.64,57.06,57.27,100,52.31,56.67,3.63,2.56,0.09,0.526,-0.459,-0.526,-0.477
Matt Every,71.94,22.93765,56.6,30.17,57.26,48.13,84.62,35.19,50,4.13,3.2,-0.917,-0.164,-0.066,-0.378,-0.573
Hudson Swafford,70,28.1022,55.44,28.5,58.03,61.36,100,54.84,46.67,3.62,2.24,0.242,0.278,0.181,-0.049,0.411
Branden Grace,70.1,24.9971,54.27,42.8,47.35,58,78.57,54.72,60.42,3.77,2.67,-0.059,0.233,0.429,-0.392,0.56
Russell Knox,69.82,30.55675,61.57,25.31,60.49,64.34,100,56.76,62.5,3.73,2.14,-0.09,-0.027,0.635,-0.202,0.535
Sergio Garcia,70.15,27.30935,61.39,32.61,59.42,57.81,85.71,52.38,58.33,3.96,2.64,-0.729,0.115,0.442,0.983,0.966
Bo Hoag,70.19,27.6719,62.71,26.98,61.88,59.76,90.91,43.28,58.62,3.51,2.43,0.025,-0.061,-0.011,-0.217,-0.289
Bo Van Pelt,73.03,21.16915,55.37,35.59,52.25,49.73,87.5,25,53.97,3.03,3.18,-0.69,-0.133,-1.064,-0.804,-2.113
D.J. Trahan,70.08,27.82355,65.76,26.4,64.6,58.03,87.5,43.33,57.14,3.97,2.38,-0.38,-0.077,0.394,0.267,0.584
Ryan Armour,70.63,28.9831,74.06,19.94,75.39,56.04,81.82,44.44,55.29,3.78,3.03,-0.895,0.325,-0.061,0.052,0.522
Russell Henley,70.27,28.7229,64.29,27.68,63.01,62.16,95.45,43.48,60.32,3.32,1.89,-0.102,0.195,0.551,-0.206,0.6
Shane Lowry,70.3,29.41265,61.59,30.94,62.59,63.16,75,61.9,70.37,3.15,2,-0.471,0.112,0.048,0.457,0.846
Will Gordon,70.4,25.8308,52.86,34.53,52.52,58.18,100,54.17,43.59,3.7,2.8,-0.265,-0.457,-0.397,0.501,-0.353
Aaron Wise,70.45,26.10345,59.87,30.94,57.91,56.69,72.73,51.16,59.38,3.82,2.84,-0.779,-0.113,0.109,0.115,0.134
J.J. Henry,72.14,24.93335,63.82,29.17,60.12,54.84,87.5,27.78,68.75,2.81,3.19,-0.188,-0.326,-0.563,-0.556,-1.445
