Name,Scoring Average-AVG,Score,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Lucas Bjerregaard,72.541,-0.36595,-0.017,-0.19,-0.48,-0.409,-1.08
Matthew Fitzpatrick,70.414,0.39555,0.581,0.055,0.221,0.204,0.269
Scott Brown,71.715,-0.1319,-0.082,0.042,-0.53,0.258,-0.22
Xinjun Zhang,71.135,0.0764,-0.108,0.13,0.277,-0.041,0.367
Mackenzie Hughes,71.62,-0.09385,0.09,0.526,-0.459,-0.526,-0.477
Matt Every,72.407,-0.64365,-0.917,-0.164,-0.066,-0.378,-0.573
Hudson Swafford,70.431,0.2672,0.242,0.278,0.181,-0.049,0.411
Branden Grace,71.041,0.1571,-0.059,0.233,0.429,-0.392,0.56
Russell Knox,70.503,0.13945,-0.09,-0.027,0.635,-0.202,0.535
Sergio Garcia,70.868,-0.01815,-0.729,0.115,0.442,0.983,0.966
Bo Hoag,71.049,-0.0778,0.025,-0.061,-0.011,-0.217,-0.289
Bo Van Pelt,73.736,-1.03315,-0.69,-0.133,-1.064,-0.804,-2.113
D.J. Trahan,70.746,0.00105,-0.38,-0.077,0.394,0.267,0.584
Ryan Armour,71.444,-0.288,-0.895,0.325,-0.061,0.052,0.522
Russell Henley,70.903,0.1633,-0.102,0.195,0.551,-0.206,0.6
Shane Lowry,70.419,0.01485,-0.471,0.112,0.048,0.457,0.846
Will Gordon,0,-0.2811,-0.265,-0.457,-0.397,0.501,-0.353
Aaron Wise,70.954,-0.35065,-0.779,-0.113,0.109,0.115,0.134
J.J. Henry,72.878,-0.57195,-0.188,-0.326,-0.563,-0.556,-1.445
