player,Bogey Average-EVENTS,Bogey Average-AVERAGE BOGEYS PER ROUND,Bogey Average-TOTAL BOGEYS,Bogey Average-ROUNDS PLAYED,Final Round Performance-EVENTS,Final Round Performance-%,Front 9 Par 4 Scoring Average-ROUNDS,Front 9 Par 4 Scoring Average-AVG,Front 9 Par 4 Scoring Average-TOTAL STROKES,Front 9 Par 4 Scoring Average-TOTAL HOLES,Back 9 Par 4 Scoring Average-ROUNDS,Back 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-TOTAL STROKES,Back 9 Par 4 Scoring Average-TOTAL HOLES,Birdie Average-ROUNDS,Birdie Average-AVG,Birdie Average-# OF BIRDIES,Birdie Average-TOTAL ROUNDS,Scoring Average-ROUNDS,Scoring Average-AVG,Scoring Average-TOTAL STROKES,Scoring Average-TOTAL ADJUSTMENT,Scoring Average-TOTAL ROUNDS,Front 9 Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-TOTAL STROKES,Front 9 Round 1 Scoring Average-TOTAL ROUNDS,Front 9 Par 3 Scoring Average-ROUNDS,Front 9 Par 3 Scoring Average-AVG,Front 9 Par 3 Scoring Average-TOTAL STROKES,Front 9 Par 3 Scoring Average-TOTAL HOLES,Birdie to Bogey Ratio-ROUNDS,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie to Bogey Ratio-TOTAL BIRDIES AND BETTER,Birdie to Bogey Ratio-TOTAL BOGEYS AND WORSE,Back 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-TOTAL STROKES,Back 9 Round 1 Scoring Average-TOTAL ROUNDS,Bogey Avoidance-ROUNDS,Bogey Avoidance-% MAKES BOGEY,Bogey Avoidance-BOGEYS,Bogey Avoidance-HOLES PLAYED,Back 9 Par 3 Scoring Average-ROUNDS,Back 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-TOTAL STROKES,Back 9 Par 3 Scoring Average-TOTAL HOLES,Par 5 Performance-ROUNDS,Par 5 Performance-STATUS,Par 5 Performance-PAR 5 AVG,Par 5 Performance-TOTAL PAR,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,Total Eagles-ROUNDS,Total Eagles-TOTAL,Round 3 Scoring Average-AVG,Round 3 Scoring Average-TOTAL STROKES,Round 3 Scoring Average-TOTAL ROUNDS,Round 2 Scoring Average-AVG,Round 2 Scoring Average-TOTAL STROKES,Round 2 Scoring Average-TOTAL ROUNDS,Par 4 Performance-ROUNDS,Par 4 Performance-STATUS,Par 4 Performance-PAR 4 AVG,Par 4 Performance-TOTAL PAR,Final Round Scoring Average-AVG,Final Round Scoring Average-TOTAL STROKES,Final Round Scoring Average-TOTAL ROUNDS,Back 9 Round 4 Scoring Average-AVG,Back 9 Round 4 Scoring Average-TOTAL STROKES,Back 9 Round 4 Scoring Average-TOTAL ROUNDS,Round 4 Scoring Average-AVG,Round 4 Scoring Average-TOTAL STROKES,Round 4 Scoring Average-TOTAL ROUNDS,Par 4 Scoring Average-ROUNDS,Par 4 Scoring Average-AVG,Par 4 Scoring Average-TOTAL STROKES,Par 4 Scoring Average-TOTAL HOLES,Par Breakers-ROUNDS,Par Breakers-%,Par Breakers-# BIRDIES/EAGLES,Par Breakers-# HOLES,Back 9 Round 2 Scoring Average-AVG,Back 9 Round 2 Scoring Average-TOTAL STROKES,Back 9 Round 2 Scoring Average-TOTAL ROUNDS,Bounce Back-ROUNDS,Bounce Back-%,Birdie or Better Percentage-ROUNDS,Birdie or Better Percentage-%,Birdie or Better Percentage-TOTAL BIRDIES,Birdie or Better Percentage-TOTAL HOLES,Birdie or Better Percentage-GIR RANK,Front 9 Round 3 Scoring Average-AVG,Front 9 Round 3 Scoring Average-TOTAL STROKES,Front 9 Round 3 Scoring Average-TOTAL ROUNDS,Front 9 Round 2 Scoring Average-AVG,Front 9 Round 2 Scoring Average-TOTAL STROKES,Front 9 Round 2 Scoring Average-TOTAL ROUNDS,Scoring Average Before Cut-AVG,Scoring Average Before Cut-TOTAL STROKES,Scoring Average Before Cut-TOTAL ROUNDS,Back 9 Scoring Average-ROUNDS,Back 9 Scoring Average-AVG,Back 9 Scoring Average-TOTAL STROKES,Back 9 Scoring Average-TOTAL HOLES,Par 5 Eagle Leaders-ROUNDS,Par 5 Eagle Leaders-TOTAL,Par 5 Eagle Leaders-TOTAL PAR 5 HOLES,Par 5 Eagle Leaders-TOTAL HOLE OUTS,Round 1 Scoring Average-AVG,Round 1 Scoring Average-TOTAL STROKES,Round 1 Scoring Average-TOTAL ROUNDS,Back 9 Par 5 Scoring Average-ROUNDS,Back 9 Par 5 Scoring Average-AVG,Back 9 Par 5 Scoring Average-TOTAL STROKES,Back 9 Par 5 Scoring Average-TOTAL HOLES,Par 4 Birdie or Better Leaders-ROUNDS,Par 4 Birdie or Better Leaders-%,Par 4 Birdie or Better Leaders-PAR 4 BIRDIES OR BETTER,Par 4 Birdie or Better Leaders-PAR 4 HOLES,Back 9 Round 3 Scoring Average-AVG,Back 9 Round 3 Scoring Average-TOTAL STROKES,Back 9 Round 3 Scoring Average-TOTAL ROUNDS,Par 5 Scoring Average-ROUNDS,Par 5 Scoring Average-AVG,Par 5 Scoring Average-TOTAL STROKES,Par 5 Scoring Average-TOTAL HOLES,Par 3 Scoring Average-ROUNDS,Par 3 Scoring Average-AVG,Par 3 Scoring Average-TOTAL STROKES,Par 3 Scoring Average-TOTAL HOLES,Total Birdies-ROUNDS,Total Birdies-TOTAL,Par 5 Birdie or Better Leaders-ROUNDS,Par 5 Birdie or Better Leaders-%,Par 5 Birdie or Better Leaders-PAR 5 BIRDIES OR BETTER,Par 5 Birdie or Better Leaders-PAR 5 HOLES,Front 9 Round 4 Scoring Average-AVG,Front 9 Round 4 Scoring Average-TOTAL STROKES,Front 9 Round 4 Scoring Average-TOTAL ROUNDS,Par 3 Birdie or Better Leaders-ROUNDS,Par 3 Birdie or Better Leaders-%,Par 3 Birdie or Better Leaders-PAR 3 BIRDIES OR BETTER,Par 3 Birdie or Better Leaders-PAR 3 HOLES,Stroke Differential Field Average-ROUNDS,Stroke Differential Field Average-STROKE DIFFERENTIAL,Stroke Differential Field Average-PLAYER'S SCORE,Stroke Differential Field Average-FIELD AVERAGE SCORE,Eagles (Holes per)-ROUNDS,Eagles (Holes per)-FREQUENCY,Eagles (Holes per)-# OF HOLES,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Scoring Average (Actual)-AVG,Scoring Average (Actual)-TOTAL STROKES,Scoring Average (Actual)-TOTAL ROUNDS,Front 9 Par 5 Scoring Average-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Front 9 Par 5 Scoring Average-TOTAL STROKES,Front 9 Par 5 Scoring Average-TOTAL HOLES,Par 3 Performance-ROUNDS,Par 3 Performance-STATUS,Par 3 Performance-PAR 3 AVG,Par 3 Performance-TOTAL PAR
Viktor Hovland,10,2.44,83,34,10,57.14,34,4.04,752,186,34,3.95,699,177,38,3.84,146,38,38,70.208,"2,653",14.909,38,36.40,364,10,38,3.09,250,81,34,1.44,137,95,34.45,379,11,38,14.91,102,684,34,2.96,201,68,34,-36,4.67,5.40,38,.650,14.291,11.452,2.839,22,34,6,69.00,483,7,69.60,696,10,34,-1,4.00,14.52,70.71,495,7,35.29,247,7,70.71,495,7,38,3.99,"1,623",407,34,22.39,137,612,35.30,353,10,34,17.98,34,22.39,137,612,96,34.00,238,7,34.27,377,11,70.04,"1,611",23,34,35.00,"1,190",34,34,4,108,1,70.90,709,10,34,4.75,290,61,34,17.36,63,363,35.00,245,7,34,4.67,504,108,38,3.03,475,157,34,131,38,45.83,55,120,35.43,248,7,34,18.44,26,141,34,+.74,70.09,70.83,34,102.0,612,6,38,69.82,"2,653",38,34,4.55,214,47,34,+5,3.04,4.23
Phil Mickelson,10,2.45,71,29,10,100.00,29,4.10,628,153,29,3.95,576,146,29,3.90,113,29,29,71.387,"2,049",21.234,29,35.90,359,10,29,3.07,181,59,29,1.44,117,81,35.00,350,10,29,15.52,81,522,29,3.03,176,58,29,-42,4.60,5.30,29,-.074,-1.181,-2.498,1.319,16,29,4,71.60,358,5,70.50,705,10,29,+8,4.03,11.96,69.25,277,4,34.50,138,4,69.25,277,4,29,4.03,"1,204",299,29,22.41,117,522,34.70,347,10,29,23.68,29,22.41,117,522,182,35.80,179,5,35.80,358,10,70.55,"1,552",22,29,34.97,"1,014",29,29,3,106,0,70.90,709,10,29,4.60,262,57,29,17.06,51,299,35.80,179,5,29,4.60,488,106,29,3.05,357,117,29,113,29,48.11,51,106,34.75,139,4,29,12.82,15,117,29,+.23,70.66,70.89,29,130.5,522,4,29,70.66,"2,049",29,29,4.61,226,49,29,+6,3.05,3.51
Doc Redman,16,2.45,137,56,16,66.67,56,3.99,"1,225",307,56,3.99,"1,180",296,60,3.88,233,60,60,70.655,"4,203",36.304,60,35.19,563,16,60,3.04,368,121,56,1.45,221,152,35.00,595,17,60,14.81,160,"1,080",56,3.10,347,112,56,-62,4.66,9.00,60,.528,25.324,30.539,-5.213,48,56,4,70.42,845,12,70.13,"1,122",16,56,-7,3.99,24.12,70.33,844,12,35.17,422,12,70.33,844,12,60,3.98,"2,577",647,56,21.92,221,"1,008",35.44,567,16,56,21.23,56,21.92,221,"1,008",40,35.25,423,12,34.59,588,17,70.06,"2,522",36,56,35.18,"1,970",56,56,3,180,2,70.13,"1,122",16,56,4.61,443,96,56,19.40,117,603,35.17,422,12,56,4.66,838,180,60,3.06,738,241,56,217,60,41.67,80,192,35.17,422,12,56,14.22,32,225,56,+.47,70.23,70.70,56,252.0,"1,008",4,60,70.05,"4,203",60,56,4.70,395,84,56,+15,3.07,6.75
Kyle Stanley,13,2.46,91,37,13,40.00,37,4.02,813,202,37,4.02,779,194,39,3.72,145,39,39,71.270,"2,750",29.519,39,35.08,456,13,39,3.13,244,78,37,1.37,138,101,35.36,495,14,39,15.10,106,702,37,3.00,222,74,37,-42,4.66,6.10,39,-.170,-4.919,3.850,-8.767,29,37,2,71.00,426,6,70.62,918,13,37,+8,4.02,15.84,70.20,351,5,34.40,172,5,70.20,351,5,39,4.01,"1,677",418,37,20.72,138,666,35.46,461,13,37,17.78,37,20.72,138,666,22,35.67,214,6,35.14,492,14,70.48,"2,044",29,37,35.27,"1,305",37,37,2,122,0,70.46,916,13,37,4.68,304,65,37,16.92,67,396,35.33,212,6,37,4.66,568,122,39,3.06,478,156,37,136,39,46.09,59,128,35.80,179,5,37,10.14,15,148,37,+.01,70.57,70.58,37,333.0,666,2,39,70.51,"2,750",39,37,4.63,264,57,37,+7,3.05,4.44
Kyoung-Hoon Lee,17,2.46,123,50,17,62.50,50,4.04,"1,104",273,50,4.06,"1,084",267,52,3.60,187,52,52,71.293,"3,684",23.217,52,35.53,604,17,52,3.07,319,104,50,1.31,183,140,35.50,639,18,52,15.92,149,936,50,3.07,307,100,50,-62,4.61,8.00,52,-.137,-4.644,1.933,-6.576,34,50,1,70.38,563,8,70.47,"1,198",17,50,+28,4.05,21.60,71.13,569,8,35.00,280,8,71.13,569,8,52,4.05,"2,276",562,50,20.33,183,900,35.59,605,17,50,24.24,50,20.33,183,900,163,34.25,274,8,35.06,631,18,70.81,"2,620",37,50,35.54,"1,777",50,50,1,160,1,71.00,"1,207",17,50,4.65,386,83,50,16.11,87,540,36.13,289,8,50,4.61,738,160,52,3.08,640,208,50,182,52,44.58,74,166,36.13,289,8,50,11.50,23,200,50,+.05,70.74,70.79,50,900.0,900,1,52,70.85,"3,684",52,50,4.57,352,77,50,+11,3.06,6.00
Chez Reavie,14,2.47,116,47,14,33.33,47,4.00,"1,005",251,47,4.03,992,246,51,3.39,173,51,51,71.544,"3,613",35.760,51,35.07,491,14,51,3.07,328,107,47,1.26,164,130,35.27,529,15,51,15.25,140,918,47,3.08,277,90,47,-46,4.71,8.00,51,-.083,-2.583,10.193,-12.774,31,47,5,69.90,699,10,71.00,994,14,47,+9,4.02,19.88,72.56,653,9,36.56,329,9,72.56,653,9,51,4.02,"2,173",541,47,19.39,164,846,35.71,500,14,47,22.76,47,19.39,164,846,98,34.70,347,10,35.27,529,15,70.53,"2,257",32,47,35.64,"1,675",47,47,3,160,2,70.36,985,14,47,4.67,406,87,47,17.10,85,497,35.20,352,10,47,4.71,754,160,51,3.08,631,205,47,159,51,40.70,70,172,36.00,324,9,47,7.94,15,189,47,-.07,70.87,70.80,47,169.2,846,5,51,70.84,"3,613",51,47,4.77,348,73,47,+13,3.07,5.67
Billy Horschel,12,2.47,111,45,12,80.00,45,3.95,955,242,45,4.02,956,238,47,3.77,177,47,47,70.488,"3,295",17.924,47,34.67,416,12,47,3.07,301,98,45,1.43,176,123,34.85,453,13,47,14.89,126,846,45,3.09,278,90,45,-52,4.64,7.30,47,.781,21.085,12.791,8.295,27,45,5,71.55,787,11,70.00,840,12,45,-9,3.98,19.20,69.60,696,10,34.50,345,10,69.60,696,10,47,3.98,"1,997",502,45,21.73,176,810,35.50,426,12,45,28.57,45,21.73,176,810,59,34.64,381,11,34.54,449,13,69.70,"1,882",27,45,35.42,"1,594",45,45,5,146,1,69.42,833,12,45,4.68,360,77,45,20.21,97,480,36.91,406,11,45,4.64,678,146,47,3.08,592,192,45,171,47,36.18,55,152,35.10,351,10,45,14.13,26,184,45,+.69,70.13,70.82,45,162.0,810,5,47,70.11,"3,295",47,45,4.61,318,69,45,+15,3.08,5.52
Joel Dahmen,14,2.47,126,51,14,81.82,51,3.98,"1,125",283,51,3.95,"1,055",267,55,3.73,205,55,55,70.284,"3,838",27.624,55,35.71,500,14,55,3.07,353,115,51,1.46,195,134,34.93,524,15,55,14.34,142,990,51,2.93,299,102,51,-38,4.76,7.95,55,1.031,40.212,47.921,-7.707,39,51,7,69.58,835,12,69.50,973,14,51,-20,3.96,22.00,69.73,767,11,34.73,382,11,69.73,767,11,55,3.95,"2,349",594,51,21.24,195,918,34.43,482,14,51,21.31,51,21.24,195,918,185,34.50,414,12,35.00,525,15,69.84,"2,165",31,51,34.78,"1,774",51,51,4,159,0,70.64,989,14,51,4.67,420,90,51,19.09,105,550,35.08,421,12,51,4.76,757,159,55,3.00,675,225,51,188,55,35.67,61,171,35.00,385,11,51,16.27,34,209,51,+.76,69.88,70.64,51,131.1,918,7,55,69.78,"3,838",55,51,4.88,337,69,51,E,3.00,6.27
Jason Day,8,2.48,57,23,8,75.00,23,4.08,486,119,23,4.08,481,118,25,3.64,91,25,25,70.674,"1,759",7.839,25,35.38,283,8,25,3.04,167,55,23,1.38,88,64,34.89,314,9,25,15.33,69,450,23,2.93,135,46,23,-37,4.54,4.00,25,.296,3.552,6.605,-3.053,12,23,4,70.00,280,4,70.71,495,7,23,+19,4.08,9.48,70.75,283,4,35.75,143,4,70.75,283,4,25,4.07,"1,054",259,23,21.26,88,414,35.00,245,7,23,15.52,23,21.26,88,414,158,34.25,137,4,35.50,284,8,70.33,"1,266",18,23,35.17,809,23,23,4,80,1,70.13,561,8,23,4.49,193,43,23,13.08,31,237,35.75,143,4,23,4.54,363,80,25,2.99,314,105,23,84,25,50.00,43,86,35.00,140,4,23,17.53,17,97,23,+.66,70.39,71.05,23,103.5,414,4,25,70.36,"1,759",25,23,4.59,170,37,23,-2,2.98,2.91
George McNeill,8,2.50,55,22,8,.00,22,3.99,455,114,22,4.07,452,111,22,3.09,68,22,22,72.233,"1,572",17.130,22,35.50,284,8,22,3.09,139,45,22,1.15,71,62,35.88,287,8,22,15.66,62,396,22,3.11,137,44,22,-21,4.74,4.10,22,-.270,-3.505,-4.101,.596,13,22,3,72.50,290,4,71.14,498,7,22,+7,4.03,9.00,71.00,213,3,34.00,102,3,71.00,213,3,22,4.03,907,225,22,17.93,71,396,36.14,253,7,22,24.14,22,17.93,71,396,35,35.75,143,4,35.00,245,7,71.63,"1,146",16,22,35.86,789,22,22,3,82,1,71.38,571,8,22,4.65,200,43,22,15.11,34,225,36.75,147,4,22,4.74,389,82,22,3.10,276,89,22,68,22,36.59,30,82,37.00,111,3,22,7.87,7,89,22,-.55,71.45,70.90,22,132.0,396,3,22,71.45,"1,572",22,22,4.85,189,39,22,+9,3.10,2.67
Paul Casey,7,2.50,70,28,7,28.57,28,3.93,581,148,28,4.09,585,143,28,4.18,117,28,28,70.898,"1,968",17.134,28,34.71,243,7,28,3.10,189,61,28,1.51,122,81,36.00,252,7,28,16.07,81,504,28,3.19,166,52,28,-53,4.47,5.00,28,.293,4.690,16.544,-11.853,16,28,5,69.14,484,7,68.71,481,7,28,+2,4.01,11.64,72.57,508,7,38.00,266,7,72.57,508,7,28,4.01,"1,166",291,28,24.21,122,504,34.29,240,7,28,27.27,28,24.21,122,504,31,33.57,235,7,34.43,241,7,69.75,"1,116",16,28,35.96,"1,007",28,28,4,100,0,70.71,495,7,28,4.49,256,57,28,19.93,58,291,35.57,249,7,28,4.47,447,100,28,3.14,355,113,28,117,28,55.00,55,100,34.57,242,7,28,7.96,9,113,28,+.63,70.29,70.92,28,100.8,504,5,28,70.29,"1,968",28,28,4.44,191,43,28,+16,3.14,3.39
Scott Piercy,13,2.50,120,48,13,36.36,48,4.00,"1,064",266,48,4.03,"1,012",251,50,3.28,164,50,50,71.334,"3,535",31.707,50,34.92,454,13,50,3.10,325,105,48,1.26,165,131,35.14,492,14,50,15.56,140,900,48,3.13,300,96,48,-49,4.67,7.50,50,-.087,-2.957,3.375,-6.329,34,48,5,71.82,790,11,69.23,900,13,48,+8,4.02,20.68,71.73,789,11,36.18,398,11,71.73,789,11,50,4.02,"2,169",539,48,19.10,165,864,34.31,446,13,48,13.01,48,19.10,165,864,136,34.73,382,11,35.14,492,14,70.00,"2,100",30,48,35.56,"1,707",48,48,4,150,1,69.92,909,13,48,4.65,395,85,48,14.31,74,517,37.09,408,11,48,4.67,701,150,50,3.10,635,205,48,160,50,42.31,66,156,35.55,391,11,48,13.20,26,197,48,-.16,70.58,70.42,48,172.8,864,5,50,70.70,"3,535",50,48,4.71,306,65,48,+20,3.10,5.91
Danny Lee,13,2.50,105,42,13,75.00,42,3.96,926,234,42,4.06,894,220,46,4.02,185,46,46,70.584,"3,223",23.855,46,34.62,450,13,46,2.98,286,96,42,1.44,170,118,35.64,499,14,46,15.70,130,828,42,3.02,254,84,42,-46,4.65,6.50,46,-.117,-3.732,8.434,-12.164,32,42,4,70.67,636,9,69.00,828,12,42,+4,4.01,18.16,70.50,564,8,36.25,290,8,70.50,564,8,46,4.01,"1,995",498,42,22.49,170,756,34.50,414,12,42,20.37,42,22.49,170,756,130,34.67,312,9,34.54,449,13,69.54,"1,947",28,42,35.52,"1,492",42,42,3,130,0,70.31,914,13,42,4.65,344,74,42,17.62,80,454,36.00,324,9,42,4.65,604,130,46,3.01,565,188,42,166,46,45.07,64,142,34.25,274,8,42,18.60,32,172,42,+.58,70.05,70.63,42,189.0,756,4,46,70.07,"3,223",46,42,4.64,260,56,42,+2,3.01,5.16
James Hahn,9,2.50,75,30,9,40.00,30,4.00,660,165,30,4.06,634,156,30,3.73,112,30,30,71.108,"2,111",22.246,30,34.33,309,9,30,3.11,190,61,30,1.41,114,81,34.67,312,9,30,15.00,81,540,30,3.08,185,60,30,-48,4.51,4.90,30,.660,13.854,9.248,4.608,21,30,2,70.57,494,7,71.44,643,9,30,+10,4.03,12.84,70.60,353,5,35.80,179,5,70.60,353,5,30,4.03,"1,294",321,30,21.11,114,540,35.56,320,9,30,27.27,30,21.11,114,540,47,35.00,245,7,35.89,323,9,70.40,"1,408",20,30,35.33,"1,060",30,30,2,98,0,69.00,621,9,30,4.46,241,54,30,14.95,48,321,35.57,249,7,30,4.51,442,98,30,3.10,375,121,30,112,30,53.06,52,98,34.80,174,5,30,11.57,14,121,30,+.12,70.37,70.49,30,270.0,540,2,30,70.37,"2,111",30,30,4.57,201,44,30,+12,3.10,3.63
Robert Streb,13,2.50,100,40,13,16.67,40,4.09,871,213,40,4.00,849,212,40,3.68,147,40,40,71.549,"2,833",28.951,40,36.00,468,13,40,3.02,245,81,40,1.30,151,116,35.38,460,13,40,16.11,116,720,40,3.11,249,80,40,-51,4.62,6.70,40,-.779,-17.129,-6.778,-10.352,22,40,4,70.63,565,8,70.38,915,13,40,+20,4.05,17.00,70.83,425,6,35.50,213,6,70.83,425,6,40,4.05,"1,720",425,40,20.97,151,720,34.85,453,13,40,21.70,40,20.97,151,720,82,35.88,287,8,35.54,462,13,70.93,"1,986",28,40,35.10,"1,404",40,40,3,134,1,71.38,928,13,40,4.50,306,68,40,15.53,66,425,34.75,278,8,40,4.62,619,134,40,3.07,494,161,40,147,40,44.03,59,134,35.33,212,6,40,16.15,26,161,40,-.23,70.83,70.60,40,180.0,720,4,40,70.83,"2,833",40,40,4.74,313,66,40,+11,3.07,4.83
Corey Conners,13,2.50,110,44,13,66.67,44,4.00,960,240,44,4.02,941,234,48,4.00,192,48,48,70.458,"3,357",24.979,48,34.46,448,13,48,3.00,300,100,44,1.44,176,122,35.36,495,14,48,14.93,129,864,44,3.08,259,84,44,-58,4.59,7.10,48,.415,14.927,33.897,-18.969,36,44,5,70.44,634,9,71.15,925,13,44,+5,4.01,18.96,68.89,620,9,35.11,316,9,68.89,620,9,48,3.99,"2,066",518,44,22.22,176,792,36.00,468,13,44,26.27,44,22.22,176,792,3,35.00,315,9,35.00,490,14,70.14,"1,964",28,44,35.52,"1,563",44,44,5,142,0,69.85,908,13,44,4.65,363,78,44,17.93,85,474,35.44,319,9,44,4.59,652,142,48,3.04,583,192,44,171,48,45.45,70,154,33.78,304,9,44,15.34,27,176,44,+.69,70.16,70.85,44,158.4,792,5,48,69.94,"3,357",48,44,4.52,289,64,44,+6,3.03,5.28
Marc Leishman,10,2.51,88,35,10,50.00,35,4.05,773,191,35,3.99,722,181,35,3.80,133,35,35,70.434,"2,462",3.188,35,35.80,358,10,35,3.11,230,74,35,1.37,136,99,35.60,356,10,35,15.71,99,630,35,2.93,205,70,35,-38,4.67,5.70,35,1.181,30.712,29.193,1.521,26,35,3,69.38,555,8,70.67,636,9,35,+7,4.02,14.88,69.63,557,8,34.63,277,8,69.63,557,8,35,4.02,"1,495",372,35,21.59,136,630,34.89,314,9,35,24.73,35,21.59,136,630,160,34.13,273,8,35.78,322,9,71.05,"1,350",19,35,35.11,"1,229",35,35,2,114,0,71.40,714,10,35,4.72,302,64,35,17.74,66,372,35.25,282,8,35,4.67,532,114,35,3.02,435,144,35,133,35,42.11,48,114,35.00,280,8,35,15.28,22,144,35,+.71,70.34,71.05,35,210.0,630,3,35,70.34,"2,462",35,35,4.60,230,50,35,+3,3.02,4.32
Martin Laird,12,2.51,98,39,12,71.43,39,4.07,880,216,39,3.94,780,198,39,3.59,140,39,39,71.344,"2,746",36.426,39,35.00,420,12,39,3.00,234,78,39,1.37,148,108,35.08,421,12,39,15.38,108,702,39,3.09,241,78,39,-49,4.63,6.60,39,-.082,-2.388,12.041,-14.427,29,39,8,70.50,564,8,70.42,845,12,39,+4,4.01,16.56,70.86,496,7,35.71,250,7,70.86,496,7,39,4.01,"1,660",414,39,21.08,148,702,35.17,422,12,39,19.81,39,21.08,148,702,30,35.38,283,8,35.25,423,12,70.20,"1,755",25,39,35.23,"1,374",39,39,5,132,0,70.08,841,12,39,4.71,353,75,39,16.91,70,414,35.13,281,8,39,4.63,611,132,39,3.04,475,156,39,140,39,41.67,55,132,35.14,246,7,39,14.74,23,156,39,+.04,70.41,70.45,39,87.8,702,8,39,70.41,"2,746",39,39,4.53,258,57,39,+7,3.04,4.68
Bronson Burgoon,12,2.51,93,37,12,71.43,37,3.94,808,205,37,4.01,781,195,39,4.31,168,39,39,70.493,"2,713",36.235,39,34.25,411,12,39,2.97,232,78,37,1.67,164,98,35.38,460,13,39,14.67,103,702,37,2.99,221,74,37,-49,4.58,5.90,39,.634,19.669,7.340,12.330,31,37,2,69.57,487,7,70.09,771,11,37,-11,3.97,16.00,68.00,476,7,34.71,243,7,68.00,476,7,39,3.99,"1,682",422,37,24.62,164,666,34.91,384,11,37,24.47,37,24.62,164,666,89,34.43,241,7,35.08,421,12,69.96,"1,819",26,37,35.11,"1,299",37,37,2,118,0,69.75,837,12,37,4.64,297,64,37,19.00,76,400,35.14,246,7,37,4.58,541,118,39,2.97,463,156,37,162,39,50.00,62,124,33.29,233,7,37,19.59,29,148,37,+.80,69.49,70.29,37,333.0,666,2,39,69.56,"2,713",39,37,4.52,244,54,37,-3,2.98,4.44
Brian Stuard,16,2.51,143,57,16,66.67,57,3.99,"1,254",314,57,4.02,"1,235",307,61,3.66,223,61,61,70.877,"4,277",46.498,61,35.19,563,16,61,3.02,371,123,57,1.37,211,154,35.29,600,17,61,14.57,160,"1,098",57,3.03,345,114,57,-59,4.66,8.80,61,.371,16.304,6.509,9.797,44,57,3,70.15,912,13,70.50,"1,128",16,57,+5,4.01,24.84,69.42,833,12,35.00,420,12,69.42,833,12,61,4.00,"2,662",665,57,20.57,211,"1,026",35.25,564,16,57,19.31,57,20.57,211,"1,026",184,35.08,456,13,35.29,600,17,70.36,"2,533",36,57,35.19,"2,006",57,57,3,176,1,70.56,"1,129",16,57,4.63,426,92,57,15.78,98,621,35.08,456,13,57,4.66,821,176,61,3.02,740,245,57,208,61,42.55,80,188,34.42,413,12,57,17.03,39,229,57,+.19,70.21,70.40,57,342.0,"1,026",3,61,70.11,"4,277",61,57,4.70,395,84,57,+5,3.02,6.87
Sebastian Cappelen,13,2.51,108,43,13,50.00,43,4.02,916,228,43,4.01,903,225,43,3.67,158,43,43,71.646,"3,045",35.759,43,35.00,455,13,43,3.07,267,87,43,1.30,163,125,35.69,464,13,43,16.15,125,774,43,3.12,268,86,43,-49,4.67,7.40,43,-.293,-7.326,-13.739,6.413,25,43,5,72.00,648,9,70.08,911,13,43,+7,4.02,18.12,70.88,567,8,36.25,290,8,70.88,567,8,43,4.02,"1,819",453,43,21.06,163,774,35.15,457,13,43,22.41,43,21.06,163,774,180,36.56,329,9,34.92,454,13,70.32,"1,969",28,43,35.58,"1,530",43,43,4,148,0,70.69,919,13,43,4.72,359,76,43,17.66,80,453,35.44,319,9,43,4.67,691,148,43,3.09,535,173,43,158,43,41.89,62,148,34.63,277,8,43,12.14,21,173,43,-.22,70.81,70.59,43,154.8,774,5,43,70.81,"3,045",43,43,4.61,332,72,43,+16,3.09,5.19
Tyler Duncan,16,2.51,123,49,16,37.50,49,4.08,"1,086",266,49,4.04,"1,079",267,53,3.68,195,53,53,71.093,"3,733",34.918,53,35.13,562,16,53,2.92,312,107,49,1.31,182,139,35.12,597,17,53,15.09,144,954,49,3.09,290,94,49,-62,4.60,7.80,53,-.132,-5.283,-3.797,-1.485,40,49,5,70.22,632,9,71.19,"1,139",16,49,+33,4.06,21.32,71.00,568,8,35.38,283,8,71.00,568,8,53,4.05,"2,335",577,49,20.63,182,882,35.88,574,16,49,21.88,49,20.63,182,882,127,34.67,312,9,35.12,597,17,70.47,"2,537",36,49,35.47,"1,738",49,49,4,156,1,70.19,"1,123",16,49,4.61,369,80,49,14.45,77,533,35.56,320,9,49,4.60,718,156,53,2.99,625,209,49,177,53,44.64,75,168,35.63,285,8,49,18.13,35,193,49,+.05,70.65,70.70,49,176.4,882,5,53,70.43,"3,733",53,49,4.59,349,76,49,E,3.00,5.79
