player,Percentage of Yardage covered by Tee Shots-ROUNDS,Percentage of Yardage covered by Tee Shots-AVG (%),Percentage of Yardage covered by Tee Shots-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots-TOTAL DISTANCE,Right Tendency-EVENTS,Right Tendency-%,Right Tendency-NUMBER OF TIMES,Right Tendency-ATTEMPTS,Right Tendency-AVG RTP SCORE,Missed Fairway Percent - Other-ROUNDS,Missed Fairway Percent - Other-%,Missed Fairway Percent - Other-TOTAL MISSED,Missed Fairway Percent - Other-TOTAL FWYS,Missed Fairway Percent - Other-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 5's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 5's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL DISTANCE,Driving Pct 320+ (Measured)-ROUNDS,Driving Pct 320+ (Measured)-%,Driving Pct 320+ (Measured)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 320+ (Measured)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 4's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL DISTANCE,Left Tendency-EVENTS,Left Tendency-%,Left Tendency-NUMBER OF TIMES,Left Tendency-ATTEMPTS,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-ROUNDS,Left Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-ROUNDS,Fairway Bunker Tendency-%,Fairway Bunker Tendency-TOTAL FAIRWAY BUNKERS,Fairway Bunker Tendency-POSSIBLE FWYS,Fairway Bunker Tendency-RELATIVE TO PAR,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,Right Rough Tendency (RTP Score)-ROUNDS,Right Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency-ROUNDS,Right Rough Tendency-%,Right Rough Tendency-TOTAL RIGHT ROUGH,Right Rough Tendency-POSSIBLE FWYS,Right Rough Tendency-RELATIVE TO PAR,Left Rough Tendency-ROUNDS,Left Rough Tendency-%,Left Rough Tendency-TOTAL LEFT ROUGH,Left Rough Tendency-POSSIBLE FWYS,Left Rough Tendency-RELATIVE TO PAR,Good Drive Percentage-ROUNDS,Good Drive Percentage-%,Good Drive Percentage-# HIT,Good Drive Percentage-TOTAL ATTEMPTS,Driving Accuracy Percentage-ROUNDS,Driving Accuracy Percentage-%,Driving Accuracy Percentage-FAIRWAYS HIT,Driving Accuracy Percentage-POSSIBLE FAIRWAYS,Rough Tendency-ROUNDS,Rough Tendency-%,Rough Tendency-TOTAL ROUGH,Rough Tendency-POSSIBLE FWYS,Rough Tendency-RELATIVE TO PAR,Hit Fairway Percentage-ROUNDS,Hit Fairway Percentage-%,Hit Fairway Percentage-FAIRWAYS HIT,Hit Fairway Percentage-POSSIBLE FAIRWAYS,Hit Fairway Percentage-RELATIVE TO PAR
Sergio Garcia,22,67.63,"436,412","64,529",6,50.0,24,48,+0.42,22,2.90,4,138,-0.50,26,54.42,"123,791","22,746",22,50.00,10,20,-0.20,22,72.02,"347,502","48,250",6,50.0,24,48,-0.42,22,-.120,22,5.1,7,29,E,26,.983,13.762,14,22,.966,1.219,-.368,.115,10,22,+.050,22,14.49,20,138,+0.05,22,18.12,25,138,-0.12,22,83.55,254,304,26,61.39,221,360,22,32.61,45,138,-0.44,22,59.42,82,138,-0.12
Cameron Champ,42,66.93,"1,432,253","214,006",12,47.8,88,184,+1.02,42,3.04,14,460,+0.50,42,57.05,"387,591","67,943",42,52.38,44,84,-0.52,42,71.52,"1,044,662","146,063",12,52.2,96,184,+1.15,42,+.011,42,4.3,20,85,+0.350,42,1.079,35.610,33,42,.957,1.079,.146,-.268,33,42,+.039,42,16.74,77,460,+0.04,42,19.13,88,460,+0.01,42,82.06,485,591,42,57.53,340,591,42,35.87,165,460,+0.24,42,56.74,261,460,-0.32
Bryson DeChambeau,30,66.81,"1,284,748","192,288",8,54.7,82,150,+0.37,30,3.13,13,415,+0.38,34,57.10,"334,766","58,625",30,58.33,35,60,-0.37,30,70.41,"986,651","140,130",8,45.3,68,150,+0.44,30,-.050,30,3.9,16,66,+0.250,34,1.098,37.325,34,30,1.588,1.119,.397,.072,30,30,-.068,30,17.59,73,415,-0.07,30,14.46,60,415,-0.05,30,83.81,352,420,34,61.13,291,476,30,32.05,133,415,-0.60,30,60.96,253,415,-0.27
Ryan Brehm,42,66.78,"1,023,572","153,273",13,45.0,77,171,+0.39,42,6.65,22,331,+0.95,42,56.08,"253,270","45,159",42,42.86,36,84,-0.33,42,71.25,"770,302","108,114",13,55.0,94,171,+2.98,42,+.076,42,10.0,33,142,+0.121,42,.165,3.953,24,42,-.437,.165,-.362,-.239,24,42,-.052,42,17.52,58,331,-0.05,42,19.94,66,331,+0.08,42,79.05,464,587,42,47.36,278,587,42,37.46,124,331,+0.16,42,45.92,152,331,-0.21
Bubba Watson,34,66.72,"1,076,909","161,402",10,43.6,61,140,E,34,2.61,9,345,E,38,55.46,"265,250","47,825",34,50.00,26,52,-0.54,34,70.49,"846,176","120,044",10,56.4,79,140,+0.13,34,-.015,34,8.7,30,127,+0.100,38,.627,18.194,29,34,.584,.664,.041,-.120,25,34,-.040,34,14.49,50,345,-0.04,34,19.13,66,345,-0.02,34,80.30,379,472,38,57.20,302,528,34,33.62,116,345,-0.26,34,55.07,190,345,-0.27
Justin Thomas,32,66.25,"1,029,372","155,385",9,44.9,62,138,-1.94,32,2.42,8,330,+0.38,36,54.57,"264,690","48,507",32,27.08,13,48,-0.38,32,70.74,"801,770","113,345",9,55.1,76,138,-0.53,32,-.131,32,5.8,19,80,-0.105,36,.395,11.069,28,32,1.773,.431,1.069,.273,24,32,-.196,32,16.97,56,330,-0.20,32,18.48,61,330,-0.13,32,85.71,384,448,36,57.14,288,504,32,35.45,117,330,-1.62,32,56.36,186,330,-0.26
Dustin Johnson,18,65.88,"687,983","104,434",5,33.3,26,78,+2.69,18,3.52,8,227,+0.38,22,54.86,"197,600","36,021",18,36.11,13,36,-0.08,18,70.33,"526,661","74,880",5,66.7,52,78,+0.96,18,+.038,18,4.4,10,42,+0.500,22,.722,14.450,20,18,.418,.567,.067,-.216,16,18,+.158,18,8.37,19,227,+0.16,18,22.91,52,227,+0.04,18,81.96,209,255,22,64.31,200,311,18,31.28,71,227,+0.70,18,60.79,138,227,-0.20
Brandon Hagy,36,65.87,"1,086,512","164,937",13,49.1,84,171,+1.90,36,9.22,33,358,+0.70,36,56.29,"239,617","42,571",36,38.89,28,72,-0.61,36,69.21,"846,895","122,366",13,50.9,87,171,+1.15,36,+.014,36,4.7,17,73,+0.235,36,-.152,-3.943,26,36,-.656,-.152,-.488,-.016,26,36,E,36,17.32,62,358,E,36,19.55,70,358,+0.01,36,80.72,406,503,36,51.69,260,503,36,36.87,132,358,+0.08,36,49.16,176,358,-0.16
Matthew Wolff,40,65.84,"1,236,738","187,833",11,46.2,72,156,+0.42,40,3.25,13,400,+0.92,42,56.52,"310,361","54,909",40,40.63,26,64,-0.12,40,69.31,"943,615","136,152",11,53.8,84,156,+2.86,40,+.106,40,5.8,23,98,+0.304,42,.509,15.785,31,40,-.160,.639,-.305,-.494,29,40,-.050,40,15.00,60,400,-0.05,40,16.50,66,400,+0.11,40,80.54,451,560,42,57.31,337,588,40,31.50,126,400,+0.32,40,59.50,238,400,-0.19
Kurt Kitayama,18,65.79,"499,895","75,981",5,68.8,44,64,+2.50,18,6.63,11,166,+0.55,18,57.30,"110,402","19,267",18,39.29,11,28,+0.45,18,68.68,"389,493","56,714",5,31.3,20,64,+1.00,18,-.056,18,6.0,10,43,+0.200,18,.199,2.391,12,18,.470,.199,.033,.238,12,18,+.030,18,19.88,33,166,+0.03,18,10.84,18,166,-0.06,18,78.88,198,251,18,54.18,136,251,18,30.72,51,166,E,18,56.63,94,166,-0.14
Patrick Cantlay,20,65.77,"766,560","116,554",5,50.0,38,76,+2.37,20,5.12,13,254,+0.54,20,54.19,"193,329","35,676",20,22.50,9,40,-0.33,20,70.88,"573,231","80,878",5,50.0,38,76,+0.26,20,-.133,20,3.9,10,42,+0.200,20,.348,6.264,18,20,1.676,.348,1.093,.235,18,20,+.133,20,11.81,30,254,+0.13,20,11.81,30,254,-0.13,20,89.05,252,283,20,67.49,191,283,20,23.62,60,254,E,20,67.32,171,254,-0.32
Rory McIlroy,28,65.76,"811,943","123,474",7,50.9,54,106,+1.85,28,1.89,5,265,+0.40,32,56.30,"229,679","40,795",28,50.00,20,40,-0.45,28,69.25,"617,308","89,146",7,49.1,52,106,+0.77,28,+.135,28,8.3,22,93,+0.045,32,.736,16.932,23,28,2.158,.774,1.008,.377,19,28,+.048,28,15.85,42,265,+0.05,28,19.62,52,265,+0.13,28,82.47,320,388,32,57.21,254,444,28,35.47,94,265,+0.96,28,54.34,144,265,-0.33
Gary Woodland,34,65.63,"1,060,580","161,600",9,45.3,53,117,+1.51,34,3.68,13,353,+0.62,38,55.69,"264,584","47,506",34,38.46,20,52,-0.50,34,68.93,"830,987","120,561",9,54.7,64,117,E,34,-.137,34,5.9,21,88,+0.238,38,.111,3.218,29,34,1.099,.322,.957,-.180,25,34,+.065,34,13.03,46,353,+0.07,34,14.45,51,353,-0.14,34,86.97,414,476,38,65.41,348,532,34,27.48,97,353,-0.41,34,62.89,222,353,-0.25
Tyler McCumber,45,65.62,"1,252,066","190,811",14,58.3,105,180,+1.62,45,3.41,14,410,+0.71,45,55.84,"297,139","53,211",45,26.67,24,90,-0.25,45,69.40,"954,927","137,600",14,41.7,75,180,+1.20,45,+.034,45,5.6,23,99,+0.261,45,.368,11.032,30,45,.425,.368,.198,-.140,30,45,+.079,45,21.71,89,410,+0.08,45,14.39,59,410,+0.03,45,82.35,518,629,45,54.37,342,629,45,36.10,148,410,+0.61,45,54.88,225,410,-0.20
Adam Scott,26,65.38,"756,505","115,716",7,40.6,43,106,-1.86,26,4.45,11,247,-0.36,26,56.34,"191,550","33,999",26,41.67,15,36,-0.07,26,69.14,"564,955","81,717",7,59.4,63,106,+1.90,26,+.070,26,3.2,8,32,+0.625,26,-.029,-.519,18,26,.895,-.029,.357,.566,18,26,-.214,26,17.00,42,247,-0.21,26,23.08,57,247,+0.07,26,79.72,287,360,26,54.44,196,360,26,40.08,99,247,-0.51,26,52.23,129,247,-0.26
Grayson Murray,29,65.36,"1,007,797","154,202",10,60.1,89,148,+0.56,29,3.93,13,331,+0.85,29,56.09,"235,093","41,912",29,37.93,22,58,-0.41,29,68.81,"772,704","112,290",10,39.9,59,148,+3.73,29,+.214,29,7.3,24,99,+0.375,29,.441,10.582,24,29,.226,.441,-.396,.181,24,29,-.014,29,22.05,73,331,-0.01,29,12.69,42,331,+0.21,29,79.56,323,406,29,54.68,222,406,29,34.74,115,331,+0.70,29,54.08,179,331,-0.16
Sung Kang,49,65.27,"1,609,692","246,603",14,50.0,102,204,+0.49,49,3.42,18,527,+0.39,51,54.62,"387,933","71,018",49,35.37,29,82,-0.34,49,69.31,"1,239,439","178,813",14,50.0,102,204,+1.47,49,+.124,49,5.7,30,129,+0.100,51,.331,13.234,40,49,.548,.429,.319,-.200,38,49,-.036,49,15.75,83,527,-0.04,49,16.89,89,527,+0.12,49,84.23,577,685,51,57.92,413,713,49,32.64,172,527,+0.47,49,58.25,307,527,-0.20
Jon Rahm,22,65.27,"905,060","138,661",6,44.1,41,93,+2.20,22,3.38,10,296,-0.30,26,54.42,"246,679","45,326",22,36.36,16,44,-0.25,22,69.49,"693,565","99,802",6,55.9,52,93,-0.77,22,-.073,22,7.1,21,89,+0.143,26,.774,19.343,25,22,1.288,.777,.366,.144,21,22,+.118,22,11.49,34,296,+0.12,22,13.85,41,296,-0.07,22,85.26,266,312,26,64.67,238,368,22,25.34,75,296,+0.13,22,64.19,190,296,-0.23
Martin Trainer,34,65.23,"1,140,046","174,764",14,39.7,73,184,+2.60,34,7.47,28,375,+0.61,36,54.06,"284,610","52,647",34,26.47,18,68,-0.11,34,69.66,"873,113","125,345",14,60.3,111,184,+1.80,34,+.154,34,5.1,19,79,+0.105,36,-.552,-16.005,29,34,-2.519,-.406,-2.070,-.043,27,34,+.127,34,14.67,55,375,+0.13,34,24.27,91,375,+0.15,34,72.65,348,479,36,47.14,239,507,34,38.93,146,375,+1.44,34,48.53,182,375,-0.05
Xander Schauffele,34,65.19,"1,065,778","163,491",9,53.5,68,127,-1.18,34,3.43,12,350,-0.58,38,54.72,"283,849","51,875",34,25.00,13,52,-0.08,34,69.22,"817,397","118,083",9,46.5,59,127,+0.51,34,+.038,34,6.3,22,94,+0.182,38,.618,17.921,29,34,1.636,.694,.789,.154,25,34,-.130,34,15.43,54,350,-0.13,34,14.86,52,350,+0.04,34,86.97,414,476,38,61.47,327,532,34,30.29,106,350,-0.47,34,60.00,210,350,-0.24
Patrick Rodgers,65,65.13,"2,043,222","313,692",18,51.1,160,313,+0.88,65,3.12,21,674,+0.43,67,54.90,"487,398","88,779",65,25.38,33,130,-0.36,65,68.97,"1,573,547","228,141",18,48.9,153,313,+0.98,65,+.063,65,7.0,47,202,+0.170,67,.242,12.353,51,65,-.088,.244,-.389,.056,49,65,+.031,65,18.99,128,674,+0.03,65,18.99,128,674,+0.06,65,78.77,716,909,67,51.33,481,937,65,37.98,256,674,+0.47,65,51.93,350,674,-0.25
Jason Kokrak,37,65.06,"1,091,112","167,720",11,42.0,58,138,+2.59,37,2.49,9,361,-0.22,39,55.14,"269,626","48,900",37,44.83,26,58,+0.04,37,68.74,"838,901","122,048",11,58.0,80,138,+1.38,37,+.090,37,6.6,24,104,+0.333,39,.647,18.114,28,37,.519,.654,.139,-.275,26,37,+.143,37,13.57,49,361,+0.14,37,18.56,67,361,+0.09,37,83.46,429,514,39,59.04,320,542,37,32.13,116,361,+1.12,37,58.73,212,361,-0.17
Branden Grace,27,65.05,"790,175","121,468",9,60.8,79,130,-0.25,27,2.65,7,264,-0.29,31,52.99,"192,562","36,339",27,26.09,12,46,-0.42,27,68.93,"631,357","91,596",9,39.2,51,130,+2.35,27,+.209,27,7.2,19,81,+0.053,31,-.392,-9.027,23,27,.560,-.183,.509,.233,19,27,-.014,27,26.52,70,264,-0.01,27,16.29,43,264,+0.21,27,81.96,309,377,31,54.27,235,433,27,42.80,113,264,+0.71,27,47.35,125,264,-0.21
Tommy Fleetwood,22,65.05,"415,927","63,935",6,63.0,29,46,+1.38,22,2.92,4,137,-0.75,22,55.42,"88,485","15,967",22,30.00,6,20,-0.17,22,68.26,"327,442","47,968",6,37.0,17,46,+1.76,22,E,22,5.1,7,29,+0.143,22,.610,6.103,10,22,.890,.610,.467,-.187,10,22,+.160,22,18.25,25,137,+0.16,22,10.95,15,137,E,22,84.21,256,304,22,62.83,191,304,22,29.20,40,137,+1.00,22,62.77,86,137,-0.09
Byeong Hun An,51,65.02,"1,504,388","231,359",14,53.5,115,215,+2.09,51,3.45,17,493,+0.24,53,53.75,"354,674","65,986",51,26.92,21,78,-0.19,51,69.16,"1,166,096","168,601",14,46.5,100,215,-0.40,51,-.089,51,8.1,40,169,+0.050,53,.096,3.661,38,51,1.070,.215,.322,.534,36,51,+.159,51,17.85,88,493,+0.16,51,16.02,79,493,-0.09,51,81.55,579,710,53,54.74,404,738,51,33.87,167,493,+0.42,51,54.56,269,493,-0.19
Keith Mitchell,42,65.00,"1,167,991","179,698",13,38.5,55,143,+1.64,42,4.83,19,393,+0.42,44,54.43,"272,233","50,016",42,23.53,16,68,-0.13,42,68.69,"912,898","132,910",13,61.5,88,143,+2.50,42,+.222,42,6.6,26,109,+0.192,44,.465,13.945,30,42,-.404,.481,-.274,-.610,28,42,+.128,42,9.92,39,393,+0.13,42,16.03,63,393,+0.22,42,79.39,466,587,44,60.00,369,615,42,25.95,102,393,+1.86,42,62.60,246,393,-0.18
Danny Lee,42,64.99,"1,163,246","178,992",13,46.6,76,163,+2.50,42,4.87,19,390,+0.26,46,54.34,"285,583","52,554",42,25.00,17,68,-0.35,42,68.65,"912,384","132,905",13,53.4,87,163,+1.15,42,+.095,42,9.0,35,149,+0.171,46,.375,11.989,32,42,.374,.398,.203,-.227,28,42,+.173,42,13.33,52,390,+0.17,42,16.15,63,390,+0.10,42,81.85,478,584,46,58.75,376,640,42,29.49,115,390,+1.30,42,56.67,221,390,-0.20
Scottie Scheffler,52,64.88,"1,663,399","256,398",14,44.4,91,205,+0.55,52,1.80,10,555,+0.20,52,54.12,"383,138","70,796",52,37.50,39,104,-0.36,52,68.98,"1,280,261","185,602",14,55.6,114,205,+0.35,52,-.065,52,7.4,41,174,+0.195,52,.663,26.503,40,52,.967,.663,.328,-.023,40,52,+.042,52,12.97,72,555,+0.04,52,16.58,92,555,-0.07,52,84.20,613,728,52,61.54,448,728,52,29.55,164,555,-0.18,52,61.26,340,555,-0.22
Charles Howell III,47,64.73,"1,152,876","178,109",13,59.3,105,177,+1.81,47,2.33,9,386,+0.56,49,54.92,"271,570","49,445",47,30.00,21,70,-0.38,47,68.14,"898,736","131,892",13,40.7,72,177,+1.53,47,+.121,47,8.0,31,131,+0.065,49,-.153,-4.605,30,47,.023,-.183,-.122,.327,28,47,+.161,47,22.54,87,386,+0.16,47,15.03,58,386,+0.12,47,79.20,518,654,49,56.01,382,682,47,37.56,145,386,+1.45,47,52.07,201,386,-0.29
Lucas Bjerregaard,17,64.69,"500,773","77,410",7,48.9,43,88,+0.70,17,7.88,13,165,+1.23,17,54.36,"123,359","22,695",17,29.41,10,34,E,17,68.98,"377,414","54,715",7,51.1,45,88,+3.33,17,+.038,17,12.1,20,89,+0.300,17,-.409,-4.911,12,17,-1.080,-.409,-.480,-.190,12,17,-.061,17,20.00,33,165,-0.06,17,15.76,26,165,+0.04,17,76.05,181,238,17,44.12,105,238,17,35.76,59,165,-0.17,17,44.24,73,165,-0.16
Luke List,41,64.68,"1,288,728","199,250",13,57.7,101,175,+0.59,41,4.22,18,427,+0.56,43,55.10,"321,910","58,418",41,16.22,12,74,-0.67,41,68.32,"984,199","144,060",13,42.3,74,175,+1.35,41,+.043,41,10.1,43,185,+0.023,43,.265,8.736,33,41,.649,.251,.331,.067,31,41,+.014,41,17.33,74,427,+0.01,41,11.01,47,427,+0.04,41,81.53,468,574,43,57.64,347,602,41,28.34,121,427,+0.25,41,57.38,245,427,-0.24
Wyndham Clark,43,64.66,"1,160,805","179,525",14,49.0,95,194,+0.95,43,5.53,21,380,+0.52,47,54.60,"309,830","56,741",43,28.57,20,70,-0.35,43,68.63,"887,008","129,251",14,51.0,99,194,+2.32,43,+.079,43,8.4,32,136,+0.125,47,-.334,-10.682,32,43,-.610,-.394,-.342,.125,28,43,+.107,43,19.74,75,380,+0.11,43,20.00,76,380,+0.08,43,78.06,466,597,47,53.14,347,653,43,39.74,151,380,+0.93,43,46.32,176,380,-0.22
Brooks Koepka,18,64.65,"659,391","101,994",6,52.2,59,113,+0.34,18,5.41,12,222,+0.50,22,55.13,"177,511","32,196",18,31.25,10,32,-0.50,18,68.01,"518,700","76,265",6,47.8,54,113,+1.67,18,+.027,18,10.8,24,105,+0.125,22,.517,10.349,20,18,.150,.214,-.330,.266,16,18,E,18,18.92,42,222,E,18,16.67,37,222,+0.03,18,76.98,194,252,22,54.22,167,308,18,35.59,79,222,+0.13,18,48.20,107,222,-0.17
Will Gordon,20,64.59,"414,897","64,237",6,48.4,31,64,+0.65,20,2.88,4,139,+0.75,20,55.74,"94,526","16,957",20,20.00,8,40,-0.13,20,67.76,"320,371","47,280",6,51.6,33,64,+3.03,20,+.240,20,10.1,14,57,+0.143,20,.501,5.013,10,20,-.353,.501,-.397,-.457,10,20,+.043,20,16.55,23,139,+0.04,20,17.99,25,139,+0.24,20,81.07,227,280,20,52.86,148,280,20,34.53,48,139,+1.46,20,52.52,73,139,-0.18
Phil Mickelson,29,64.57,"659,745","102,168",10,27.3,27,99,+0.74,29,7.37,16,217,+0.13,29,53.88,"162,896","30,234",29,16.67,7,42,-0.14,29,69.07,"496,849","71,934",10,72.7,72,99,+0.97,29,+.148,29,6.0,13,58,-0.308,29,-.054,-.871,16,29,-.156,-.054,-.528,.426,16,29,+.091,29,10.14,22,217,+0.09,29,24.88,54,217,+0.15,29,77.53,314,405,29,55.06,223,405,29,35.02,76,217,+1.32,29,51.61,112,217,-0.21
Sam Burns,34,64.45,"1,287,773","199,799",11,62.2,122,196,+1.15,34,3.01,13,432,+0.62,36,54.86,"325,949","59,417",34,29.41,20,68,-0.35,34,68.19,"979,329","143,610",11,37.8,74,196,+2.97,34,+.161,34,9.7,42,178,+0.262,36,.435,14.342,33,34,-.716,.433,-.384,-.764,31,34,+.094,34,19.68,85,432,+0.09,34,14.35,62,432,+0.16,34,79.41,378,476,36,52.78,266,504,34,34.03,147,432,+1.22,34,53.24,230,432,-0.24
Beau Hossler,53,64.44,"1,444,687","224,192",15,58.7,131,223,+1.83,53,5.57,27,485,+0.67,53,54.72,"338,862","61,928",53,26.42,28,106,-0.32,53,68.15,"1,105,825","162,264",15,41.3,92,223,+1.85,53,+.123,53,9.3,45,193,+0.111,53,-.218,-7.639,35,53,-.907,-.218,-.560,-.129,35,53,+.109,53,18.97,92,485,+0.11,53,13.40,65,485,+0.12,53,80.84,599,741,53,52.63,390,741,53,32.37,157,485,+1.15,53,52.78,256,485,-0.17
Kevin Tway,36,64.38,"953,036","148,024",12,57.1,88,154,+0.45,36,3.56,11,309,+0.45,38,54.88,"232,799","42,418",36,27.08,13,48,-0.23,36,67.77,"737,541","108,834",12,42.9,66,154,+1.67,36,+.077,36,10.0,31,133,+0.258,38,-.514,-12.855,25,36,-.126,-.514,.093,.294,23,36,-.031,36,20.71,64,309,-0.03,36,16.83,52,309,+0.08,36,74.20,371,500,38,48.48,256,528,36,37.54,116,309,+0.17,36,48.87,151,309,-0.18
Jhonattan Vegas,36,64.35,"945,752","146,975",11,39.5,47,119,+0.21,36,3.14,10,318,+0.30,40,54.93,"259,801","47,297",36,31.25,20,64,-0.20,36,67.91,"720,820","106,145",11,60.5,72,119,+2.22,36,+.196,36,5.3,17,72,+0.176,40,.727,19.618,27,36,.279,.837,-.392,-.166,23,36,-.025,36,12.58,40,318,-0.03,36,17.61,56,318,+0.20,36,84.72,427,504,40,62.14,348,560,36,30.19,96,318,+1.04,36,61.32,195,318,-0.20
Scott Harrington,48,64.32,"1,391,479","216,333",15,49.5,95,192,+1.47,48,3.59,17,473,+0.65,48,54.61,"319,090","58,434",48,25.00,24,96,-0.46,48,67.92,"1,072,389","157,899",15,50.5,97,192,+1.24,48,+.028,48,7.8,37,158,+0.108,48,.439,14.916,34,48,.014,.439,-.448,.023,34,48,+.155,48,15.01,71,473,+0.15,48,15.01,71,473,+0.03,48,80.92,543,671,48,56.18,377,671,48,30.02,142,473,+0.92,48,58.56,277,473,-0.16
Viktor Hovland,34,64.32,"732,970","113,952",10,44.3,43,97,+2.56,34,2.38,6,252,+1.00,38,53.77,"185,534","34,505",34,15.38,8,52,-0.88,34,67.78,"582,335","85,914",10,55.7,54,97,+1.67,34,+.056,34,11.9,30,123,+0.400,38,.649,14.288,22,34,.300,.611,.468,-.779,18,34,E,34,9.92,25,252,E,34,14.29,36,252,+0.06,34,83.44,393,471,38,66.03,348,527,34,24.21,61,252,+0.33,34,61.51,155,252,-0.17
Adam Schenk,50,64.32,"1,263,932","196,495",16,52.4,88,168,+1.93,50,4.40,19,432,+0.42,52,53.75,"295,242","54,933",50,25.00,21,84,-0.48,50,68.05,"985,258","144,790",16,47.6,80,168,+0.63,50,-.032,50,7.4,32,140,+0.250,52,.241,7.939,33,50,.214,.276,-.009,-.053,31,50,+.117,50,13.89,60,432,+0.12,50,14.58,63,432,-0.03,50,82.73,575,695,52,60.58,438,723,50,28.47,123,432,+0.41,50,59.72,258,432,-0.22
Zack Sucher,30,64.28,"748,467","116,434",10,41.9,52,124,+1.15,30,3.20,8,250,+0.50,30,53.32,"183,045","34,331",30,18.33,11,60,-0.27,30,68.87,"565,422","82,103",10,58.1,72,124,+1.25,30,+.061,30,11.2,28,119,+0.143,30,.114,2.047,18,30,.230,.114,-.005,.122,18,30,+.098,30,16.40,41,250,+0.10,30,19.60,49,250,+0.06,30,82.82,347,419,30,51.07,214,419,30,36.00,90,250,+0.78,30,49.60,124,250,-0.25
Hideki Matsuyama,42,64.26,"1,206,663","187,777",11,62.7,96,153,E,42,3.47,14,403,+0.21,44,54.81,"300,711","54,864",42,20.00,12,60,-0.42,42,67.81,"923,137","136,141",11,37.3,57,153,+0.18,42,-.136,42,8.2,33,137,+0.212,44,.374,11.580,31,42,1.821,.385,.887,.549,29,42,-.069,42,17.87,72,403,-0.07,42,10.92,44,403,-0.14,42,84.42,493,584,44,60.46,370,612,42,28.78,116,403,-0.95,42,59.55,240,403,-0.24
Ryan Palmer,36,64.24,"1,122,164","174,686",10,53.7,66,123,+1.97,36,3.66,14,382,+0.21,40,54.02,"269,916","49,969",36,12.50,7,56,-0.71,36,67.63,"887,228","131,184",10,46.3,57,123,+0.88,36,+.045,36,7.9,30,128,+0.233,40,.567,17.590,31,36,.395,.570,.100,-.275,27,36,+.200,36,10.47,40,382,+0.20,36,11.52,44,382,+0.05,36,85.91,433,504,40,64.11,359,560,36,21.99,84,382,+1.19,36,66.49,254,382,-0.15
Vincent Whaley,30,64.24,"811,768","126,356",11,57.3,67,117,+1.34,30,3.65,10,274,+0.20,30,53.24,"185,371","34,817",30,18.33,11,60,-0.27,30,68.43,"626,397","91,539",11,42.7,50,117,+1.00,30,E,30,8.8,24,106,+0.292,30,-.053,-1.051,20,30,-.703,-.053,-.465,-.185,20,30,+.104,30,17.52,48,274,+0.10,30,12.77,35,274,E,30,81.86,343,419,30,58.47,245,419,30,30.29,83,274,+0.60,30,57.30,157,274,-0.12
Carlos Ortiz,48,64.19,"1,691,142","263,461",14,52.3,136,260,+0.88,48,3.85,22,572,+0.64,52,53.75,"436,766","81,255",48,16.67,16,96,-0.31,48,68.25,"1,287,721","188,673",14,47.7,124,260,+0.08,48,-.066,48,6.1,35,152,+0.086,52,-.023,-1.034,45,48,.739,.030,.294,.415,41,48,+.009,48,18.71,107,572,+0.01,48,18.53,106,572,-0.07,48,81.85,550,672,52,55.36,403,728,48,37.24,213,572,-0.28,48,52.80,302,572,-0.23
Tony Finau,36,64.18,"953,222","148,528",10,50.7,68,134,-0.74,36,4.09,13,318,+0.31,40,53.97,"254,083","47,076",36,33.93,19,56,-0.58,36,68.07,"734,626","107,919",10,49.3,66,134,+0.76,36,E,36,7.9,25,106,+0.120,40,.354,9.558,27,36,1.521,.342,.673,.505,23,36,-.132,36,16.67,53,318,-0.13,36,15.41,49,318,E,36,82.80,414,500,40,55.04,306,556,36,32.08,102,318,-0.69,36,55.97,178,318,-0.26
