player,Average Distance of Eagle putts made-ROUNDS,Average Distance of Eagle putts made-AVG,Average Distance of Eagle putts made-TOT DIST (FT),Average Distance of Eagle putts made-TOT EAGLES PUTTS MADE,Average Distance of Eagle putts made-LONGEST MADE (FT),Average Distance of Eagle putts made-SHORTEST MADE (FT),1-Putts per Round-ROUNDS,1-Putts per Round-AVG,1-Putts per Round-TOTAL 1 PUTTS,1-Putts per Round-TOTAL ROUNDS,3-Putts per Round-ROUNDS,3-Putts per Round-AVG,3-Putts per Round-TOTAL 3 PUTTS,3-Putts per Round-TOTAL ROUNDS,Birdie or Better Conversion Percentage-ROUNDS,Birdie or Better Conversion Percentage-%,Birdie or Better Conversion Percentage-# BIRDIES,Birdie or Better Conversion Percentage-GREENS HIT,Average Distance of Putts made-ROUNDS,Average Distance of Putts made-AVG,Average Distance of Putts made-TOTAL DIST (INCHES),Average Distance of Putts made-TOTAL ROUNDS,Average Distance of Putts made-AVG DIST,Average Distance of Putts made-BEST ROUND,SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,One-Putt Percentage - Round 1-ROUNDS,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 1-# OF 1 PUTTS,One-Putt Percentage - Round 1-# OF HOLES,One-Putt Percentage - Round 3-%,One-Putt Percentage - Round 3-# OF 1 PUTTS,One-Putt Percentage - Round 3-# OF HOLES,One-Putt Percentage - Round 4-%,One-Putt Percentage - Round 4-# OF 1 PUTTS,One-Putt Percentage - Round 4-# OF HOLES,Approach Putt Performance-ROUNDS,Approach Putt Performance-VALUE,Approach Putt Performance-ATTEMPTS,Approach Putt Performance-TOTAL DISTANCE (FEET),2-Putts per Round-ROUNDS,2-Putts per Round-AVG,2-Putts per Round-TOTAL 2 PUTTS,2-Putts per Round-TOTAL ROUNDS,One-Putt Percentage-ROUNDS,One-Putt Percentage-%,One-Putt Percentage-# OF 1 PUTTS,One-Putt Percentage-# OF HOLES,PUTTING-table_name,One-Putt Percentage - Round 2-%,One-Putt Percentage - Round 2-# OF 1 PUTTS,One-Putt Percentage - Round 2-# OF HOLES
Grayson Murray,29,"5' 2""",10.250,2,6,5,29,6.97,202,29,29,.62,18,29,29,32.42,107,330,29,"68' 0""","19,595",24,386,0101001283,29,-.732,-17.569,24,29,40.00,72,180,32.22,29,90,41.11,37,90,29,"2' 1""",255,521.667,29,10.10,293,29,29,38.70,202,522,One-Putt Percentage - Round 2,39.51,64,162
Rory Sabbatini,46,"5' 0""",15.083,3,10,2,46,7.02,323,46,46,.63,29,46,50,29.61,180,608,46,"66' 9""","24,042",30,375,1701001256,50,.014,.469,34,50,40.87,103,252,37.78,68,180,36.67,66,180,46,"2' 4""",317,745.583,46,10.15,467,46,50,39.67,357,900,One-Putt Percentage - Round 2,39.74,93,234
Cameron Tringale,46,"4' 11""",4.917,1,5,5,46,7.15,329,46,46,.48,22,46,46,29.28,166,567,46,"68' 10""","29,739",36,387,2301001438,46,.033,1.176,36,46,45.37,98,216,37.37,74,198,40.91,81,198,46,"2' 5""",376,912.417,46,10.11,465,46,46,39.73,329,828,One-Putt Percentage - Round 2,35.19,76,216
Dominic Bozzelli,32,"3' 10""",3.833,1,4,4,32,7.91,253,32,32,.50,16,32,32,37.60,135,359,32,"80' 5""","19,295",20,450,0202001758,32,.427,8.549,20,32,45.00,81,180,44.44,56,126,40.00,36,90,32,"2' 1""",204,433.083,32,9.34,299,32,32,43.92,253,576,One-Putt Percentage - Round 2,44.44,80,180
Kyle Stanley,37,"2' 10""",2.833,1,3,3,37,6.43,238,37,37,.62,23,37,39,28.63,142,496,37,"64' 9""","20,975",27,363,0504001696,39,-.302,-8.767,29,39,37.70,95,252,31.48,34,108,35.56,32,90,37,"2' 3""",308,692.667,37,10.73,397,37,39,36.32,255,702,One-Putt Percentage - Round 2,36.75,86,234
Brian Stuard,57,"2' 8""",2.667,1,3,3,57,7.47,426,57,57,.37,21,57,61,30.40,214,704,57,"71' 0""","34,089",40,400,2402001447,61,.223,9.797,44,61,40.20,123,306,40.60,95,234,45.37,98,216,57,"2' 2""",405,869.667,57,9.91,565,57,61,41.99,461,"1,098",One-Putt Percentage - Round 2,40.63,117,288
Patrick Rodgers,65,"1' 10""",1.833,1,2,2,65,7.11,462,65,65,.29,19,65,67,31.67,254,802,65,"76' 7""","45,048",49,430,1804001647,67,.780,39.776,51,67,41.81,143,342,34.81,94,270,40.87,103,252,65,"2' 3""",533,"1,214.750",65,10.40,676,65,67,39.80,480,"1,206",One-Putt Percentage - Round 2,40.12,130,324
Francesco Molinari,19,"1' 9""",1.750,1,2,2,19,7.53,143,19,19,.63,12,19,19,30.09,65,216,19,"66' 6""","9,581",12,373,2204001183,19,-.448,-5.380,12,19,47.22,51,108,34.72,25,72,42.59,23,54,19,"2' 3""",128,293.250,19,9.63,183,19,19,41.81,143,342,One-Putt Percentage - Round 2,40.74,44,108
Lucas Glover,43,"1' 7""",3.167,2,2,1,43,6.65,286,43,43,.72,31,43,47,31.72,183,577,43,"73' 4""","22,873",26,412,3951001575,47,-.165,-4.937,30,47,37.70,95,252,38.27,62,162,34.03,49,144,43,"2' 3""",288,643.250,43,10.35,445,43,47,38.53,326,846,One-Putt Percentage - Round 2,37.61,88,234
Kramer Hickok,39,"1' 7""",1.583,1,2,2,39,7.13,278,39,39,.62,24,39,39,25.89,116,448,39,"65' 2""","20,336",26,370,0501001225,39,-.391,-10.160,26,39,42.86,108,252,37.96,41,108,33.33,30,90,39,"2' 5""",283,694.833,39,10.00,390,39,39,39.60,278,702,One-Putt Percentage - Round 2,39.29,99,252
Brandt Snedeker,29,"1' 6""",1.500,1,2,2,29,7.17,208,29,29,.28,8,29,31,31.17,115,369,29,"77' 8""","24,227",26,444,1504001967,31,.500,14.014,28,31,38.89,63,162,39.68,50,126,37.96,41,108,29,"2' 2""",267,584.000,29,10.07,292,29,31,40.50,226,558,One-Putt Percentage - Round 2,42.36,61,144
