player,Average Distance of Eagle putts made-ROUNDS,Average Distance of Eagle putts made-AVG,Average Distance of Eagle putts made-TOT DIST (FT),Average Distance of Eagle putts made-TOT EAGLES PUTTS MADE,Average Distance of Eagle putts made-LONGEST MADE (FT),Average Distance of Eagle putts made-SHORTEST MADE (FT),1-Putts per Round-ROUNDS,1-Putts per Round-AVG,1-Putts per Round-TOTAL 1 PUTTS,1-Putts per Round-TOTAL ROUNDS,3-Putts per Round-ROUNDS,3-Putts per Round-AVG,3-Putts per Round-TOTAL 3 PUTTS,3-Putts per Round-TOTAL ROUNDS,Birdie or Better Conversion Percentage-ROUNDS,Birdie or Better Conversion Percentage-%,Birdie or Better Conversion Percentage-# BIRDIES,Birdie or Better Conversion Percentage-GREENS HIT,Average Distance of Putts made-ROUNDS,Average Distance of Putts made-AVG,Average Distance of Putts made-TOTAL DIST (INCHES),Average Distance of Putts made-TOTAL ROUNDS,Average Distance of Putts made-AVG DIST,Average Distance of Putts made-BEST ROUND,SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,One-Putt Percentage - Round 1-ROUNDS,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 1-# OF 1 PUTTS,One-Putt Percentage - Round 1-# OF HOLES,One-Putt Percentage - Round 3-%,One-Putt Percentage - Round 3-# OF 1 PUTTS,One-Putt Percentage - Round 3-# OF HOLES,One-Putt Percentage - Round 4-%,One-Putt Percentage - Round 4-# OF 1 PUTTS,One-Putt Percentage - Round 4-# OF HOLES,Approach Putt Performance-ROUNDS,Approach Putt Performance-VALUE,Approach Putt Performance-ATTEMPTS,Approach Putt Performance-TOTAL DISTANCE (FEET),2-Putts per Round-ROUNDS,2-Putts per Round-AVG,2-Putts per Round-TOTAL 2 PUTTS,2-Putts per Round-TOTAL ROUNDS,One-Putt Percentage-ROUNDS,One-Putt Percentage-%,One-Putt Percentage-# OF 1 PUTTS,One-Putt Percentage-# OF HOLES,PUTTING-table_name,One-Putt Percentage - Round 2-%,One-Putt Percentage - Round 2-# OF 1 PUTTS,One-Putt Percentage - Round 2-# OF HOLES
Scottie Scheffler,52,"13' 6""",80.833,6,31,1,52,7.42,386,52,52,.65,34,52,52,34.93,226,647,52,"78' 7""","37,702",40,443,0102001708,52,-.092,-3.700,40,52,44.44,112,252,37.96,82,216,37.50,81,216,52,"2' 3""",419,954.333,52,9.63,501,52,52,41.24,386,936,One-Putt Percentage - Round 2,44.05,111,252
Josh Teater,29,"13' 0""",13.000,1,13,13,29,6.79,197,29,29,.69,20,29,29,31.42,115,366,29,"72' 7""","13,059",15,409,1702001393,29,-1.051,-15.762,15,29,36.87,73,198,40.28,29,72,38.89,21,54,29,"2' 6""",167,415.917,29,10.24,297,29,29,37.74,197,522,One-Putt Percentage - Round 2,37.37,74,198
Henrik Norlander,48,"13' 0""",26.000,2,22,4,48,6.60,317,48,48,.44,21,48,48,29.97,178,594,48,"65' 11""","23,737",30,369,1101001328,48,-.224,-6.709,30,48,35.76,103,288,34.03,49,144,40.28,58,144,48,"1' 11""",346,673.417,48,10.79,518,48,48,36.69,317,864,One-Putt Percentage - Round 2,37.15,107,288
Ian Poulter,22,"12' 8""",25.333,2,20,6,22,7.82,172,22,22,.32,7,22,26,32.06,92,287,22,"78' 3""","11,269",12,439,2403001367,26,.632,10.119,16,26,46.83,59,126,50.00,45,90,44.44,40,90,22,"2' 2""",123,267.917,22,9.73,214,22,26,45.09,211,468,One-Putt Percentage - Round 2,35.19,38,108
Tony Finau,36,"12' 8""",38.000,3,20,7,36,7.22,260,36,36,.47,17,36,40,32.80,165,503,36,"68' 8""","18,955",23,386,1604001064,40,-.040,-1.068,27,40,33.84,67,198,46.53,67,144,43.75,63,144,36,"1' 11""",244,458.250,36,10.11,364,36,40,40.56,292,720,One-Putt Percentage - Round 2,39.44,71,180
Kevin Streelman,43,"12' 6""",12.500,1,13,13,43,6.77,291,43,43,.56,24,43,45,30.74,170,553,43,"65' 3""","21,129",27,366,0101001465,45,-.080,-2.309,29,45,33.33,96,288,38.89,49,126,38.89,42,108,43,"2' 3""",298,661.917,43,10.47,450,43,45,37.65,305,810,One-Putt Percentage - Round 2,40.37,109,270
Vincent Whaley,30,"12' 6""",24.917,2,14,11,30,7.30,219,30,30,.50,15,30,30,32.77,117,357,30,"76' 7""","18,374",20,427,0201001585,30,.111,2.229,20,30,42.22,76,180,41.11,37,90,46.67,42,90,30,"2' 3""",211,481.250,30,10.07,302,30,30,40.56,219,540,One-Putt Percentage - Round 2,35.56,64,180
Rafa Cabrera Bello,29,"12' 4""",12.333,1,12,12,29,7.76,225,29,29,.48,14,29,31,31.16,110,353,29,"73' 6""","13,225",15,410,2001001397,31,.391,6.644,17,31,41.36,67,162,46.03,58,126,46.30,50,108,29,"2' 1""",146,299.083,29,9.69,281,29,31,43.37,242,558,One-Putt Percentage - Round 2,39.58,57,144
Nick Taylor,41,"12' 1""",36.167,3,20,5,41,7.02,288,41,41,.32,13,41,41,30.39,155,510,41,"73' 4""","28,173",32,413,0202001461,41,.236,7.547,32,41,37.50,81,216,40.12,65,162,34.03,49,144,41,"2' 4""",346,794.750,41,10.44,428,41,41,39.02,288,738,One-Putt Percentage - Round 2,43.06,93,216
Sepp Straka,40,"12' 0""",12.000,1,12,12,40,6.58,263,40,40,.55,22,40,44,27.87,148,531,40,"71' 10""","27,586",32,404,0501001771,44,.032,1.159,36,44,38.56,118,306,31.94,23,72,37.50,27,72,40,"2' 4""",359,826.000,40,10.65,426,40,44,37.37,296,792,One-Putt Percentage - Round 2,35.42,102,288
Sam Burns,34,"11' 10""",59.167,5,22,4,34,7.06,240,34,34,.44,15,34,36,31.44,127,404,34,"74' 0""","27,515",31,416,0202001667,36,.480,15.827,33,36,36.57,79,216,35.19,38,108,42.59,46,108,34,"2' 2""",338,719.750,34,10.29,350,34,36,39.51,256,648,One-Putt Percentage - Round 2,44.44,88,198
Austin Cook,38,"11' 8""",11.667,1,12,12,38,6.63,252,38,38,.61,23,38,40,27.54,133,483,38,"70' 6""","21,996",26,398,0401001960,40,-.083,-2.320,28,40,38.49,97,252,34.13,43,126,34.44,31,90,38,"2' 5""",290,690.417,38,10.55,401,38,40,37.08,267,720,One-Putt Percentage - Round 2,38.03,89,234
Patrick Reed,34,"11' 7""",11.583,1,12,12,34,8.41,286,34,34,.41,14,34,36,38.01,157,413,34,"83' 7""","25,085",25,472,2202001808,36,1.077,29.082,27,36,48.33,87,180,50.00,72,144,43.75,63,144,34,"2' 2""",226,494.167,34,8.91,303,34,36,46.45,301,648,One-Putt Percentage - Round 2,45.06,73,162
Stewart Cink,31,"11' 6""",11.500,1,12,12,31,6.87,213,31,31,.42,13,31,35,30.56,132,432,31,"73' 10""","22,152",25,415,0504001211,35,.187,5.414,29,35,35.80,58,162,40.97,59,144,35.71,45,126,31,"2' 3""",275,613.667,31,10.52,326,31,35,38.25,241,630,One-Putt Percentage - Round 2,40.28,58,144
Collin Morikawa,48,"11' 5""",45.750,4,20,6,48,6.90,331,48,48,.67,32,48,52,32.37,212,655,48,"70' 2""","32,843",39,397,1704001569,52,-.263,-11.302,43,52,39.32,92,234,37.04,80,216,37.50,81,216,48,"2' 4""",413,953.417,48,10.13,486,48,52,38.89,364,936,One-Putt Percentage - Round 2,40.28,87,216
Jason Kokrak,37,"11' 4""",11.333,1,11,11,37,6.57,243,37,37,.65,24,37,39,28.69,138,481,37,"71' 0""","22,157",26,399,3954001431,39,-.206,-5.779,28,39,35.19,76,216,43.06,62,144,35.71,45,126,37,"2' 2""",287,633.583,37,10.59,392,37,39,36.18,254,702,One-Putt Percentage - Round 2,33.33,66,198
Peter Malnati,39,"11' 4""",22.583,2,20,3,39,8.36,326,39,39,.51,20,39,43,33.40,157,470,39,"82' 0""","28,538",29,462,0301001723,43,.692,22.842,33,43,45.56,123,270,51.85,56,108,51.11,46,90,39,"2' 6""",274,690.000,39,8.87,346,39,43,45.87,355,774,One-Putt Percentage - Round 2,43.25,109,252
David Lingmerth,19,"11' 2""",11.167,1,11,11,19,6.58,125,19,19,.58,11,19,19,26.89,64,238,19,"74' 6""","8,943",10,416,1102001141,19,-.007,-.071,10,19,42.06,53,126,33.33,18,54,27.78,10,36,19,"2' 5""",110,264.667,19,10.68,203,19,19,36.55,125,342,One-Putt Percentage - Round 2,34.92,44,126
Brendan Steele,40,"11' 1""",22.167,2,14,8,40,6.93,277,40,40,.63,25,40,40,30.94,155,501,40,"72' 2""","27,702",32,405,1502001506,40,-.022,-.697,32,40,37.18,87,234,42.06,53,126,38.89,49,126,40,"2' 1""",343,722.917,40,10.28,411,40,40,38.47,277,720,One-Putt Percentage - Round 2,37.61,88,234
Pat Perez,39,"10' 8""",32.000,3,13,7,39,6.79,265,39,39,.64,25,39,41,29.25,148,506,39,"76' 5""","22,010",24,429,0401001935,41,.186,4.847,26,41,40.28,87,216,35.80,58,162,36.11,52,144,39,"2' 3""",270,601.083,39,10.44,407,39,41,38.08,281,738,One-Putt Percentage - Round 2,38.38,76,198
Daniel Berger,38,"10' 8""",21.250,2,12,10,38,7.68,292,38,38,.53,20,38,42,35.44,185,522,38,"75' 7""","27,219",30,426,3951001717,42,.696,23.678,34,42,43.94,87,198,40.74,66,162,44.44,72,162,38,"2' 4""",299,689.000,38,9.53,362,38,42,43.65,330,756,One-Putt Percentage - Round 2,42.78,77,180
Mark Anderson,37,"10' 6""",31.417,3,22,"10""",37,7.14,264,37,37,.62,23,37,37,25.28,111,439,37,"70' 7""","22,860",27,395,1104001367,37,.046,1.235,27,37,34.34,68,198,47.22,68,144,38.89,49,126,37,"2' 3""",292,652.667,37,10.08,373,37,37,39.64,264,666,One-Putt Percentage - Round 2,39.90,79,198
Sebastian Cappelen,43,"10' 5""",20.833,2,12,8,43,7.28,313,43,43,.60,26,43,43,31.52,156,495,43,"73' 11""","22,185",25,419,1701001678,43,.257,6.413,25,43,44.02,103,234,37.65,61,162,36.11,52,144,43,"2' 6""",261,660.500,43,9.86,424,43,43,40.44,313,774,One-Putt Percentage - Round 2,41.45,97,234
Jon Rahm,22,"10' 5""",10.417,1,10,10,22,7.00,154,22,22,.27,6,22,26,32.43,108,333,22,"67' 1""","16,904",21,381,2203001332,26,.626,15.658,25,26,35.71,45,126,37.78,34,90,40.00,36,90,22,"2' 3""",223,506.667,22,10.36,228,22,26,39.53,185,468,One-Putt Percentage - Round 2,39.81,43,108
Billy Horschel,45,"10' 3""",30.667,3,20,5,45,7.04,317,45,45,.49,22,45,47,30.03,173,576,45,"75' 3""","22,573",25,426,1801002349,47,.307,8.295,27,47,43.16,101,234,36.36,72,198,43.33,78,180,45,"2' 1""",261,547.083,45,10.22,460,45,47,39.60,335,846,One-Putt Percentage - Round 2,35.65,77,216
Jamie Lovemark,20,"10' 3""",20.417,2,12,9,20,7.15,143,20,20,.70,14,20,20,26.87,61,227,20,"76' 8""","17,485",19,432,0201001358,20,.236,4.491,19,20,40.48,51,126,37.04,20,54,37.04,20,54,20,"2' 3""",202,461.417,20,9.85,197,20,20,39.72,143,360,One-Putt Percentage - Round 2,41.27,52,126
Adam Schenk,50,"10' 3""",10.250,1,10,10,50,7.14,357,50,50,.66,33,50,52,28.57,180,630,50,"69' 4""","25,803",31,391,0202001527,52,.184,6.068,33,52,42.16,129,306,41.98,68,162,38.89,63,162,50,"2' 5""",324,770.000,50,9.94,497,50,52,40.06,375,936,One-Putt Percentage - Round 2,36.46,105,288
Charley Hoffman,41,"10' 2""",20.250,2,12,9,41,7.07,290,41,41,.51,21,41,43,34.23,178,520,41,"70' 7""","25,395",30,396,0202001541,43,-.089,-2.861,32,43,42.06,106,252,39.58,57,144,38.10,48,126,41,"2' 5""",325,798.500,41,10.17,417,41,43,39.79,308,774,One-Putt Percentage - Round 2,37.61,88,234
Tim Wilkinson,32,"10' 1""",20.167,2,12,9,32,7.06,226,32,32,.31,10,32,32,29.09,112,385,32,"69' 2""","14,937",18,389,1104001361,32,-.015,-.278,18,32,40.00,72,180,33.33,36,108,37.96,41,108,32,"2' 2""",202,429.500,32,10.41,333,32,32,39.24,226,576,One-Putt Percentage - Round 2,42.78,77,180
