player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Rickie Fowler,22,"5' 9""",2.949,43,84,22,61.07,80,131,22,91.67,11,12,22,45.00,18,40,+15.00,22,60.98,25,41,24,"7' 2""",986.500,138,77,22,"4' 0""",51.667,13,84,22,+.083,12,+1.00,22,62.50,30,48,22,"11' 10""",354.083,30,84,22,"6' 7""",243.833,37,84,22,46.67,14,30,22,+.390,41,+16.00,22,-.077,-1.459,19
Roberto Castro,23,"5' 9""",1.869,27,69,23,61.54,80,130,23,90.00,18,20,23,41.38,12,29,+19.00,23,65.22,30,46,23,"6' 4""",499.417,79,81,23,"3' 6""",35.000,10,69,23,-.100,20,-2.00,23,55.26,21,38,23,"8' 11""",133.583,15,69,23,"6' 6""",175.083,27,69,23,44.00,11,25,23,+.348,46,+16.00,23,.198,2.768,14
Xinjun Zhang,57,"5' 9""",5.602,81,176,57,55.82,187,335,57,96.15,25,26,57,48.98,48,98,+35.00,57,53.57,60,112,57,"7' 0""","1,741.750",249,183,57,"3' 5""",68.583,20,176,57,-.231,26,-6.00,57,58.42,59,101,57,"9' 4""",614.417,66,176,57,"7' 3""",591.917,82,176,57,45.83,33,72,57,+.446,112,+50.00,57,.130,5.062,39
Kyoung-Hoon Lee,50,"5' 10""",6.402,92,46,50,63.49,200,315,50,91.18,31,34,50,54.55,54,99,+25.00,50,57.69,45,78,52,"6' 9""","1,663.833",246,64,50,"2' 6""",42.750,17,46,50,-.059,34,-2.00,50,66.96,77,115,50,"8' 5""",597.833,71,46,50,"7' 7""",394.167,52,46,50,53.42,39,73,50,+.474,78,+37.00,50,.112,3.592,32
Zack Sucher,30,"5' 10""",2.395,34,208,30,53.53,91,170,30,94.12,16,17,30,51.92,27,52,+15.00,30,49.18,30,61,30,"7' 5""",773.833,104,211,30,"2' 1""",12.667,6,208,30,E,17,E,30,45.28,24,53,30,"10' 1""",272.083,27,208,30,"7' 10""",289.500,37,208,30,55.26,21,38,30,+.508,61,+31.00,30,.122,2.188,18
Brendon Todd,50,"5' 10""",6.394,92,1,50,70.03,215,307,50,96.00,24,25,50,69.23,54,78,+7.00,50,68.14,77,113,52,"7' 2""","1,937.583",269,1,50,"4' 4""",96.083,22,1,50,-.080,25,-2.00,50,64.76,68,105,50,"9' 1""",489.500,54,1,50,"8' 5""",735.083,87,1,50,73.02,46,63,50,+.301,113,+34.00,50,.015,.582,39
Jazz Janewattananond,20,"5' 10""",.633,9,217,20,51.52,68,132,20,80.00,4,5,20,47.62,20,42,+19.00,20,60.00,12,20,22,"7' 10""",514.917,66,212,20,"3' 7""",18.083,5,217,20,E,5,E,20,35.29,6,17,20,"10' 5""",218.833,21,217,20,"7' 10""",133.417,17,217,20,44.44,8,18,20,+.400,20,+8.00,20,-.446,-3.568,8
Sungjae Im,58,"5' 11""",5.250,74,31,58,64.53,211,327,58,92.86,26,28,58,61.54,64,104,+19.00,58,61.46,59,96,60,"6' 7""","1,806.417",273,40,58,"2' 7""",64.083,25,31,58,-.036,28,-1.00,58,61.25,49,80,58,"7' 11""",517.250,65,31,58,"7' 6""",732.083,98,31,58,65.52,38,58,58,+.375,96,+36.00,58,.010,.427,43
Peter Malnati,39,"5' 11""",5.455,77,27,39,64.86,179,276,39,100.00,30,30,39,48.08,25,52,+19.00,39,63.27,62,98,43,"6' 7""","1,438.250",218,56,39,"4' 0""",92.250,23,27,39,-.133,30,-4.00,39,64.42,67,104,39,"9' 2""",320.000,35,27,39,"6' 10""",415.083,61,27,39,46.51,20,43,39,+.449,98,+44.00,39,.149,4.324,29
Carlos Ortiz,48,"5' 11""",6.032,85,20,48,65.31,177,271,48,88.46,23,26,48,51.43,36,70,+16.00,48,63.46,66,104,52,"6' 6""","1,724.500",265,33,48,"3' 0""",71.333,24,20,48,+.077,26,+2.00,48,64.52,60,93,48,"8' 1""",429.333,53,20,48,"7' 8""",636.667,83,20,48,58.33,28,48,48,+.365,104,+38.00,48,.415,17.012,41
Troy Merritt,38,"5' 11""",4.874,69,150,38,57.32,137,239,38,88.46,23,26,38,41.54,27,65,+34.00,38,52.54,31,59,42,"8' 4""","1,604.000",193,148,38,"2' 4""",36.833,16,150,38,-.115,26,-3.00,38,58.02,47,81,38,"12' 1""",423.333,35,150,38,"10' 9""",537.833,50,150,38,50.00,18,36,38,+.492,59,+29.00,38,-.231,-5.773,25
